no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
1,N3,議,의논할 의,"""의논할 의"". 의논하다, 상의하다",ギ,,"議 = 言 + 義。 (의미부)「言」는 ""말하다""라는 뜻입니다. (소리부 겸 의미부)義(ギ - ""옳을 의"")는 ""옳다, 의롭다""라는 뜻의 상용한자입니다. 義 = 𦍌 + 扌 + 戈。 「𦍌」는 ""양""을 뜻합니다. 「扌」는 ""손""을 뜻합니다. 「戈」는 ""창""을 뜻하는 부수입니다(링크 참조). 義는 ""손(扌)에 창(戈)을 들고 양(𦍌)을 지키다"" -> ""옳다, 의롭다""라는 뜻의 글자입니다. 議는 ""의(義)를 논하다(言)"" -> ""의논하다, 상의하다""라는 뜻의 글자입니다. (義는 소리부도 겸함)",음독은 ギ입니다. 특별한 점은 없습니다.,議의 정식 훈독은 없습니다.,no
2,N3,連,이을 연,"""이을 연"". 잇다, 연결, 연속되다",レン,つら(なる)、つら(ねる)、つ(れる),"連 = ⻌ + 車。 「⻌」는 ""길""을 뜻합니다. 「車」는 ""수레, 차""를 뜻합니다. 連는 ""길(⻌)에 수레(車)가 줄지어 다니다"" -> ""잇다, 연속되다, 연결되다""라는 뜻의 글자입니다.",음독은 レン입니다. 특별한 점은 없습니다.,"1.連なる、連ねる 連なる는 ""줄지어 있다, 연속해 있다""라는 뜻의 자동사입니다. 連ねる는 ""늘어세우다, 늘어놓다""라는 뜻의 2그룹 타동사입니다. 예문) 鳥が連なって飛んでいる 새가 줄지어 날고 있다 自動車が道路に連なっている 자동차가 도로에 줄지어 있다 美辞麗句を連ねる 미사여구를 늘어놓다 百万言を連ねて論ずる 백만 마디의 말을 늘어놓으며 논하다 2.連れる 連れる는 ""데리고 가다(오다), 동반하다""라는 뜻의 2그룹 타동사입니다. 예문) 子供たちを連れて出かける 아이들을 데리고 외출하다 家族を連れて公園に行く 가족을 데리고 공원에 가다",no
3,N3,対,대할 대,"""대할 대"". 대하다, 마주보다",タイ、ツイ,,"対 = 文 + 寸。 「文」는 본래 ""가슴팍에 문신이 있는 사람""을 그린 글자입니다(링크 참조). 「寸」는 ""손""을 뜻합니다. 対는 ""건장한 남성(文)이 주먹(寸)을 치켜들고상대와 대적하다""-> ""대하다, 마주보다, 상대""라는 뜻의 글자입니다.",음독은 タイ、ツイ입니다. 구분법은 다음과 같습니다. 아래 예시단어를 참조해 주세요.,対의 정식 훈독은 없습니다.,no
4,N3,部,떼 부,"""떼 부"". 부분, 부서",ブ,,"部 = 咅 + ⻏。 「咅」는 ""화분 위의 화초""를 그린 글자입니다(링크 참조). 「⻏」는 ""도시""를 뜻합니다. 部는 ""대도시(⻏) 안의 화초(咅)를 매매하는 구역"" -> ""부분, 부서""라는 뜻의 글자입니다.",음독은 ブ입니다. 특별한 점은 없습니다.,部의 정식 훈독은 없습니다.,no
5,N3,内,안 내,"""안 내"". 안, 안쪽, 내부",ナイ、ダイ,うち,"内 = 人 + 冂。 「人」는 ""사람""을 뜻합니다. 冂는 여기서는 ""건물의 내부""를 표현한 모양자입니다. 内는 ""건물 안(冂)에 있는 사람(人)"" -> ""안쪽, 내부""라는 뜻의 글자입니다.",음독은 ナイ、ダイ입니다. 사용 빈도는 ナイ가 훨씬 높습니다.,"内는 ""안쪽""을 뜻합니다.",no
6,N3,相,서로 상,"""서로 상"". 서로, 모양, 벼슬",ソウ、ショウ,あい,"相 = 木 + 目。 「木」는 ""나무""를 뜻합니다. 「目」는 ""눈""을 뜻합니다. 相는 ""나무(木)를 바라보는 눈(目)""이라는 뜻입니다. ""바라보다"" -> ""서로 바라보다"" -> ""서로, 모양""이라는 의미입니다.",음독은 ソウ、ショウ입니다. 구분법은 다음과 같습니다. 아래 예시단어를 참조해 주세요.,훈독은 あい입니다. 특별한 점은 없습니다.,no
7,N3,定,정할 정,"""정할 정"". 정하다, 결정하다",テイ、ジョウ,さだ(める)、さだ(まる)、さだ(か),"定 = 宀 + 𤴓。 「宀」는 ""집""을 뜻합니다. 𤴓는「正」가 살짝 변형된 것으로, ""바르다""라는 뜻입니다. 定는 ""올바른(正) 집(宀)을 고르다"" -> ""정하다, 결정하다""라는 뜻의 글자입니다.",음독은 テイ、ジョウ입니다. 특별한 구분법은 없습니다.,"定める는 ""정하다""라는 뜻의 2그룹 타동사입니다. 定まる는 ""정해지다""라는 뜻의 자동사입니다. 定か는 ""명확함, 확실함""을 뜻합니다.",no
8,N3,選,고를 선,"""고를 선"". 고르다, 선택하다",セン,えら(ぶ),"選 = ⻌ + 己 + 己 + 共。 「⻌」는 ""길""을 뜻합니다. 「己」는 ""무릎꿇은 사람""을 뜻합니다. 共는 여기서는 ""가마""를 그린 모양자입니다. 選는 ""앉아있는 사람들(己己) 중에서 가마(共)에 태워 보낼(⻌) 자를 고르다"" -> ""고르다, 선택하다""라는 뜻의 글자입니다.",음독은 セン입니다. 특별한 점은 없습니다.,"選ぶ는 ""고르다""라는 뜻의 타동사입니다.",no
9,N3,米,쌀 미,"""쌀 미"". 쌀",ベイ、マイ,こめ,"米는 ""곡식 낟알이 흩어져있는 모습""을 그린 상형문자입니다.",음독은 ベイ、マイ입니다. 특별한 구분법은 없습니다.,"米는 ""쌀""을 뜻합니다.",no
10,N3,実,열매 실,"""열매 실"". 현실, 진실, 열매, 결실",ジツ,み、みの(る),"実 = 宀 + 大 + 二。 「宀」는 ""집""을 뜻합니다. 「大」는 ""크다""라는 뜻입니다. 「二」는 ""2""를 뜻합니다. 実는 ""집(宀) 안의 나무에 열린 커다란(大) 열매 두 개(二)"" -> ""열매"" -> ""결실, 진실, 현실""이라는 뜻의 글자입니다.",음독은 ジツ입니다. 특별한 점은 없습니다.,"実는 ""열매, 과실""을 뜻합니다. 実る는 ""열매를 맺다, 결실을 맺다""라는 뜻의 자동사입니다.",no
