no,grammar,shape,meaning,interpretation,example,created_at
1,〜間（あいだ） / 〜間に（あいだに）,"1. 동사 ている + 間	食べている間
2. 형용사 + 間	忙しい間
3. 명사 + の + 間	休みの間","~동안(에),~사이(에)","1. 뒤 문장 행동이 계속 유지됨(あいだ)
2. 그 시간 사이에 한 번 사건 발생(あいだに)",,2026-03-23 23:27:45
2,以上・以下・以内・以外,"8歳以上の人
→ 18세 이상 사람

100点以下
→ 100점 이하

3日以内に提出
→ 3일 이내 제출

私以外みんな行く
→ 나 빼고 다 간다",~이상 ~이하 ~이내 ~이외,수량/범위 표현,,2026-03-24 01:16:57
3,〜一方で,동사 보통형 / 형용사 / 명사 + の,~하는한편(으로),두 가지 상황을 대조하거나 동시에 설명할 때 쓰는 표현,,2026-03-23 23:30:00
4,〜うちに / 〜ないうちに,"1. 동사 사전형 + うちに	食べるうちに
2. 동사 ている + うちに	食べているうちに
3. 형용사 + うちに	若いうちに
4. 명사 + の + うちに	学生のうちに

1. 동사 ない형 + うちに",~하는동안에/~하기전에,"1. 그 상태가 계속되는 동안에 어떤 변화가 생김
2. 어떤 상태가 되기 전에",,2026-03-23 23:30:39
5,〜ようと思う,"1그룹	行く → 行こう
2그룹	食べる → 食べよう
3그룹	する → しよう / 来る → 来よう",~하려고 생각하다 / ~할 생각이다,"의지(계획, 결심) 표현할 때 쓰는 문법",,2026-03-23 23:34:41
6,〜(よ)うとする,"1. 行く ->	行こう
2. 食べる ->	食べよう
3. する ->	しよう
4. 来る ->	来よう",~하려고 하다,어떤 행동을 하려고 시도함,"ドアを開けようとした。
→ 문을 열려고 했다.

早く起きようとした。
→ 일찍 일어나려고 했다.",2026-03-24 01:19:47
7,〜おかげで / 〜おかげだ,"1. 명사 + の おかげで
2. 동사 보통형 + おかげで
3. 동사 과거 + おかげで
4. 형용사 + おかげで",~덕분에 / ~덕분이다 (좋은 결과),"어떠한 것이 원인이 되어 좋은 결과가 발생할 때 사용하는 표현
<좋은 결과에만 사용>","先生が教えてくれたおかげで、合格しました。
→ 선생님이 가르쳐 준 덕분에 합격했습니다.

天気が良かったおかげで、旅行は楽しかった。
→ 날씨가 좋았던 덕분에 여행이 즐거웠다.

友達のおかげで、助かりました。
→ 친구 덕분에 도움 받았습니다.",2026-03-24 01:23:17
8,〜終わる（おわる）,동사 ます형 + 終わる,"다~하다., ~다 끝내다",어떤 행동을 완전히 끝냈을 때 사용.,"本を読み終わった。
→ 책을 다 읽었다.

宿題をやり終わった。
→ 숙제를 다 했다.

ご飯を食べ終わった。
→ 밥 다 먹었다.

仕事が終わった。
→ 일이 끝났다.",2026-03-24 01:24:29
9,〜がする,"1. 音がする	소리가 난다
2. 匂いがする	냄새가 난다
3. 味がする	맛이 난다
4. 気がする	느낌이 든다
5. 吐き気がする	토할 것 같다
6. 頭痛がする	머리가 아프다

명사 + がする","(소리 냄새 맛..등등)이 나다, (느낌, 기분)이 들다","냄새, 맛, 느낌 등 감각을 나타내는 표","🔊 소리
外で音がする。
→ 밖에서 소리가 난다.

👃 냄새
いい匂いがする。
→ 좋은 냄새가 난다.

変な匂いがする。
→ 이상한 냄새가 난다.

👅 맛
このスープは変な味がする。
→ 이 스프 이상한 맛 난다.

🤔 느낌
なんか嫌な気がする。
→ 뭔가 안 좋은 느낌이 든다.

そんな気がする。
→ 그런 느낌이 든다.",2026-03-24 01:26:51
10,〜がっている,"1. 寒い	寒がっている
2. 怖い	怖がっている
3. 嬉しい	嬉しがっている
4. 嫌だ	嫌がっている

い형용사 어간 + がっている
(い 제거)",~워 하다 / ~하게 여기고 있다 / (남의 감정 표현),자기 감정이 아니라 다른 사람 감정 말할 때,"子供が犬を怖がっている。
→ 아이가 개를 무서워하고 있다.

彼はプレゼントを嬉しがっている。
→ 그는 선물을 좋아하고 있다.

妹は注射を嫌がっている。
→ 여동생이 주사를 싫어하고 있다.",2026-03-24 01:28:18
11,〜かというと / 〜かといえば,"1. 동사:	보통형 + かというと
2. い형용사:	보통형 + かというと
3. な형용사:	だ + かというと
4. 명사:	だ + かというと",~하는가 하면 / ~인가 하면,앞 내용에 대해 판단/설명/반대 의견 말할 때,"日本語が得意かというと、そうでもない。
→ 일본어를 잘하냐고 하면, 그렇지도 않다.

この仕事が好きかといえば、好きじゃない。
→ 이 일이 좋냐고 하면 그렇진 않다.",2026-03-24 01:42:37
12,必ずしも〜ない,"1. 동사:	보통형 + とは限らない / ない
2. い형용사:	보통형 + ない
3. な형용사:	だ + とは限らない
4. 명사:	だ + とは限らない",반드시 ~인 것은 아니다 / 꼭 ~은 아니다 / 항상 ~은 아니다,"必ずしも〜ない는 뒤에 부정하는 말과 함께 쓰여, 부분 부정을 나타낸다. 必ず와 혼동하지않도록 주의한다.","お金持ちが必ずしも幸せではない。
→ 부자가 반드시 행복한 것은 아니다.

日本語が上手な人が必ずしも頭がいいとは限らない。
→ 일본어 잘하는 사람이 반드시 머리가 좋은 것은 아니다.

高い物が必ずしもいい物ではない。
→ 비싼 물건이 반드시 좋은 물건은 아니다.

努力すれば必ずしも成功するわけではない。
→ 노력한다고 반드시 성공하는 것은 아니다.",2026-03-24 01:45:01
