no,grammar,shape,meaning,interpretation,example,created_at
1,～あげく,"동사과거형(た형), 명사 の",~ 한 끝에,"여러모로 ~ 했지만 , 마이너스 ・ 나쁜 ・ 유감스러운 결과가 오는 경우가 많습니다 .","私は父とのけんかのあげく、家を出ることにしました。
나는 아빠와의 싸움 끝에 집을 나오기로 했습니다 .

彼は不倫をし、あげくの果てには妻と子供を捨てて彼女と再婚したそうだ。
그는 불륜을 하고 마침내는 아내와 아이를 버리고 여자친구와 재혼했다고 한다 .

1時間も待ったあげく、彼女は来なかった。
1 시간이나 기다렸지만 그녀는 끝내 오지 않았다 .

さんざん探し回ったあげく、買いたいものは見つかりませんでした。
엄청 찾아다녔지만 끝내 사고 싶은 것은 찾을 수 없었습니다 .

何度もけんかしたあげく、あの二人は別れたそうです。
몇 번이나 싸움 한 끝에 두사람은 헤어졌다고 합니다 .

何を食べるか迷ったあげく、牛丼を食べることに決めた。
무엇을 먹을까 고민 한 끝에 소고기 덮밥을 먹기로 정했다 .

この限定スニーカーを買うかどうか迷いに迷ったあげく、結局買うことにしました。
이 한정 운동화를 살까 말까 고민을 거듭한 끝에 결국 사기로 했습니다 .

私はリストラにあったあげく、妻にも逃げられてしまった。
나는 퇴직당한 끝에 아내도 도망가버렸다 .

あの学生は悪いことをくりかえしたあげく、学校を退学になりました。
저 학생은 나쁜 짓을 반복 한 끝에 학교에서 퇴학 되었습니다 .

私は悩んだあげく、彼女に相談することにしました。
나는 고민한 끝에 그녀에게 상담하기로 했습니다 .

寝坊して地下鉄に乗り遅れたあげく、会社も間に合わなかった。
늦잠자서 지하철을 놓친 끝에 회사도 지각해버렸다 . (회사 시간에 못 맞췄다)

東京駅の駅弁はいろいろありすぎて迷ったあげく、結局、普通の幕の内弁当を買ってしまった。
도쿄역의 역도시락은 여러가지로 너무 많아서 고민한 끝에 결국 일반적인 마쿠노우치도시락을 사버렸다 .",2026-04-08 21:22:16
2,～あまり(に),"동사 기본형 , 동사 과거형 ( た형 ), 형용사의 명사형 の , 명사 の","~ 한 나머지 , 너무 ~ 해서","동사의 ます 형은 ‘ 명사 ’ 가 되고 , い 형용사는 끝 글자를 さ 로 바꾸면 ‘ 명사 ’ 가 됩니다 .","みんなの前で発表する時、前に立ったら緊張のあまり頭が真っ白になってしまった。
모두의 앞에서 발표를 할 때 , 앞에 섰더니 긴장한 나머지 머리가 새하얘져 버렸다 .

大学に合格したことを知って、嬉しさのあまり泣いてしまいました。
대학에 합격한 것을 알고 기쁜 나머지 울어버렸습니다 .

私は驚きのあまり、声も出なかった。
나는 놀란 나머지 목소리가 안 나왔다 .

私は緊張のあまり、上手にプレゼンができなかった。
나는 긴장한 나머지 프레젠테이션을 잘 할 수 없었다 .

父が亡くなった悲しみのあまり、ここ何日か食事がのども通らない。
아빠가 돌아가셔서 슬픈 나머지 요 며칠인가 음식이 목에 안 넘어간다 .

海外に留学したいと言って留学に来たものの、いざ海外に来たらさびしさのあまりさんざん、当時は国の友達に毎日電話してしまっていた。
해외에서 유학하고 싶다고 해서 유학하러 왔지만 막상 해외에 왔더니 쓸쓸한 나머지 당시는 본국의 친구들에게 매일 전화해버렸다 .

鈴木さんは美人なあまり、つい目がいってしまう。
스즈키씨는 아름다운 나머지 나도 모르게 눈이 가버린다 .

偶然、空港で芸能人を見ましたが、ハンサムなあまり、見とれてしまいました。
우연히 공항에서 연예인을 봤습니다만 너무 잘생긴 나머지 넋 놓고 봐 버렸습니다 .

お化け屋敷に入った彼女は、恐怖のあまり倒れてしまった。
귀신의 집에 들어간 그녀는 심한 공포로 쓰러져버렸다 .

テストで一つ一つの問題を考えすぎたあまり、時間が足りず最後までできなかった。
시험에서 하나하나 문제를 너무 생각한 나머지 시간이 부족해서 마지막까지 못했다 .

あの選手は失敗を恐れるあまり、積極的なプレーができなくなっているように見えますね。
저 선수는 실패를 겁낸 나머지 적극적인 플레이가 안되는 것처럼 보이네요 .

山田さんは無理をしすぎたあまり、入院してしまった。
야마다씨는 무리를 너무 한 나머지 입원해버렸다 .",2026-04-08 21:22:32
3,～一方で,"동사 보통형 , 형용사 보통형 등",~ 하는 한편,"① 대비 : A 는 ~, 반면에 B 는 ~
② 병렬 : A 하면서 B 를 한다","彼は歌手として活躍する一方で、作家としても本を出版している。
그는 가수로서 활약하는 한편 작가로서도 책을 출판하고 있다 .

うちの母はいつも優しい一方で怒ると怖いです。
우리 엄마는 언제나 상냥하지만 화내면 무섭습니다 .

彼女は学校で勉強する一方、アルバイトもして学費を稼いでいます。
그녀는 학교에서 공부를 하는 한편 아르바이트도 해서 학비를 벌고 있습니다 .

うちの妻は晩ごはんを作る一方で、子供のめんどうも見ています。
내 아내는 저녁밥을 만드는 한편 아이를 보살피기도 합니다 .

田中さんは、昼は仕事をする一方で、夜は高校に通っています。
다나카씨는 낮에는 일을 하는 한편 밤에는 고등학교에 다니고 있습니다 .

彼女は主婦として家事をする一方で、経営者として会社を運営しています。
그녀는 주부로서 집안일을 하는 한편 경영자로서 회사를 경영하고 있습니다 .

田舎の暮らしをあこがれる人もいる一方で、都会暮らしがいい人もいる。
전원생활을 동경하는 사람도 있는 반면 도시생활이 좋은 사람도 있다 .

父は優しい一方で、母はちょっと怖いです。
아빠는 상냥한 반면에 엄마는 조금 무섭습니다 .

日本は子供の数が減っていく一方で、高齢者の数は増えていく。
일본은 아이의 수가 줄고 있는 반면 고령자의 수는 늘고 있다 .

あの会社の社長は社員に厳しい指導をする一方で、社員への気配りもできる人で社員からの信頼が厚いです。
저 회사의 사장은 사원에게 엄하게 지도하는 반면 사원에게 배려도 잘하는 사람이라 사원들에게 신뢰가 두텁습니다 .

海外に住むことができてうれしい一方で母国が恋しいと思う時もある。
해외에 살 수 있어서 기쁜 반면에 모국이 그리워질 때도 있다 .

この国は冬は暖かくて過ごしやすい一方で、夏はとても暑くてエアコンなしでは生活ができません。
이 나라는 겨울은 따뜻해서 살기 좋은 반면 여름은 매우 더워서 에어컨이 없이는 생활할 수 없습니다 .",2026-04-08 21:23:54
4,～一方だ,동사 기본형,"~하기만 한다, ~할 뿐이다","‘ 상태가 한쪽 방향으로 계속 진행한다 ’ 는 의미로 , 부정적인 방향으로 상황이 악화되어 갈 때 사용할 때가 많다 .","最近、野菜の値段は上がる一方だ。
요즘 채소가격이 오르기만 한다 .

最近、オンラインショッピングが増える一方で、店舗の売り上げは減る一方です。
최근 온라인 쇼핑이 늘어가고 있어서 점포의 판매는 줄기만 합니다 .

韓国に旅行に来る外国人数が増加の一方だ。
한국에 여행오는 외국인수가 증가하고 있습니다 .

健康のため、禁煙する人が増えて、たばこの売り上げは減る一方だ。
건강을 위해 금연하는 사람이 늘어서 담배 판매가 줄고 있습니다 .

増税により、うちの家計は苦しくなる一方です。
증세로 인해 우리집 가계가 어려워지고 있습니다 .

うちの子は最近勉強していないので、成績が下がる一方だ。
우리 애는 요즘 공부하고 있지 않아서 성적이 내려가고만 있다 .

最近運動をしていないので、体重が増える一方だ。
요즘 운동을 하고 있지 않아서 체중이 늘고만 있습니다 .

日本語の勉強をやめたので、どんどん忘れる一方です。
일본어 공부를 그만두었기 때문에 점점 잊고 있습니다 .

最近仕事が忙しくて、ストレスがたまる一方だ。
요즘 일이 바빠서 스트레스가 쌓이기만 한다 .

学年が上がって、勉強が難しくなる一方です。
학년이 올라가서 공부가 어려워지기만 합니다 .

今日は傘を持ってきていないのに、雨が強くなる一方だ。
오늘은 우산을 가지고 오지 않았는데 비가 강해지기만 한다 .

年々平均気温が高くなって、地球温暖化が進む一方だ。
매년 평균기온이 올라가서 지구온난화가 진행되기만 한다 .",2026-04-08 21:24:02
5,～上に ~인 데다가,"동사 보통형 , な 형용사 だ + な , 명사 である , い 형용사 기본형 등",~ 인 데다가,"앞 부분이 플러스 느낌이라면 뒷문장도 플러스 느낌의 문장이 오고 , 앞 부분이 마이너스 느낌이라면
뒤 부분에도 마이너스 느낌의 문장이 온다 .","彼女は海外旅行中に財布を盗まれた上に、パスポートまでなくしてしまった。
그녀는 해외여행 중에 지갑을 도둑맞은 데다가 여권까지 잃어버렸다 .

おいしい食事を頂いた上に、おみやげまで頂いてありがとうございます。
맛있는 식사를 받은 데다가 선물까지 주셔서 감사합니다 .

散々待たされた上に、食事もおいしくなくて、もう二度とこの店には来ない。
엄청 기다리게 하고 식사도 맛없고 이제 두 번 다시 이 가게에는 안 올 거야 .

このかばんは安い上に、使いやすくて若い人たちに人気がある。
이 가방은 싼 데다가 쓰기 쉬워서 젊은 사람들에게 인기가 있다 .

この料理はカロリーが低い上に、栄養も豊富でおいしいです。
이 음식은 칼로리가 낮은 데다가 영양도 풍부하고 맛있습니다 .

彼女はかわいい上に、性格も良いので、みんなから人気があります。
그녀는 귀여운 데다가 성격도 좋아서 모두에게 인기가 있습니다 .

最近の携帯電話は写真もきれいな上に、機能もたくさんあります。
최근의 휴대전화는 사진도 예쁜 데다가 기능도 많이 있습니다 .

この地域の避難所は、地震の影響で家に帰ることが困難である上に、供給される食料も十分でない。
이 지역의 피난소는 지진의 영향으로 집에 돌아가는 게 곤란한 데다가 공급되는 식료품도 충분하지 않다 .

彼はハンサムな上にお金持ちでうらやましいです。
그는 잘생긴 데다가 부자라서 부럽습니다 .

夏休みは宿題の上に、ボランティア活動もあるので忙しい。
여름방학은 숙제에다가 봉사활동도 있어서 바쁘다 .

今、このプランを契約すると、携帯電話がかけ放題である上に、インターネットも使い放題です。
지금 이 플랜을 계약하면 휴대전화 통화량이 무제한인 데다가 인터넷도 무제한입니다 .

寝不足の上に朝ごはんも食べなかったので、なんだか体がだるいです。
수면부족에다가 아침밥을 먹지 않아서 왠지 몸이 쳐진다 .",2026-04-08 21:24:17
6,～上は ~한 이상에는,"동사 기본형, 동사 과거형(た형)",~한 이상에는,"~ 하니까 반드시 ~, ~ 하니까 당연히 ~
결의 ・ 결심을 나타내는 경우가 많다.","試験を受ける上は、絶対合格したいです。
시험을 보기로 한 이상 절대로 합격하고 싶습니다 .

国際結婚をする上は、相手の国への理解が必須です。
국제결혼을 하는 이상 상대의 나라에 대한 이해가 필수입니다 .

やると言ってしまった上は、簡単にやめるわけにはいかない。
한다고 말해버린 이상 , 간단히 그만둘 수는 없다 .

秘密を知られた上は、生かしてはおけない。
비밀이 알려진 이상 살려 둘 수는 없다 .

ダイエットをすると決めた上は、徹底した食事をするつもりです。
다이어트를 한다고 정한 이상 철저한 식사를 할 생각이다 .

彼女の両親に結婚の挨拶をした上は、彼女を幸せにするために全力を尽くさなければならない。
그녀의 부모님에게 결혼 인사를 한 이상 그녀를 행복하게 하기위해 전력을 다하지 않으면 안된다 .

自分で店を出すと決めた上は、十分な覚悟をもって準備する必要がある。
스스로 가게를 낼 거라고 정한 인상 충분한 각오를 가지고 준비할 필요가 있다 .

リーダーに選ばれた上は、プロジェクトを必ず成功させて見せます。
리더로 뽑힌 이상 프로젝트를 반드시 성공시켜 보이겠다 .

社長が決定した上は、社員は従うしかない。
사장이 결정한 이상 사원은 따를 수밖에 없다 .

留学すると決めた上は、必ず成功して帰ってきます。
유학을 한다고 정한 이상 반드시 성공해서 돌아오겠습니다 .

オリンピックの国家代表選手になった上は、必ずメダルを持って帰国します。
올림픽 국가대표선수가 된 이상 반드시 메달을 가지고 귀국하겠습니다 .

約束した上は、どんなことがあっても必ず守ります。
약속한 이상 무슨 일이 있어도 반드시 지키겠습니다 .",2026-04-08 21:26:18
7,～うちに、ないうちに,"うち가 명사이므로, 명사 접속을 해 주세요.
い 형용사 : あかるい　→　あかるい + うちに
な 형용사 : まじめ だ →　まじめ な + うちに
명사 : 学生　→　学生 の うちに
동사 : ある　→　あるうちに","～うちに : ~하는 동안에
～ないうちに : ~하기 전에","うちに 는 ~ 하는 동안에 , ないうちに는 직역하면 ‘ ~ 하지 않을 동안에 ‘ 이지만 , 의역해서 ~ 하기 전에 로 해석합니다 .","今のうちにやっておかないとあとで後悔するよ。
지금 안 해 놓으면 나중에 후회할 거야 .

独身のうちに海外旅行をしておきたい。
독신일 때 해외여행을 해 두고 싶다 .

若いうちにいろんなことに挑戦するといいですよ。
젊을 때 여러 일에 도전하면 좋아요 .

桜がきれいなうちに見に行きたいです。
벚꽃이 아름다운 동안 보러 가고 싶습니다 .

体が元気なうちに、主人と旅行に行きたいです。
몸이 건강할 때 남편과 여행가고 싶습니다 .

温かいうちに召し上がってください。
따뜻할 때 드세요 .

母が出かけているうちに、こっそりゲームをやった。
엄마가 외출해 있을 동안 몰래 게임을 했다 .

天気がいいうちに布団を干してしまおう。
날이 좋을 동안 이불을 말려버리자 .

夏休みは旅行もあるから、宿題は今のうちにやっておきなさい。
여름방학은 여행도 있으니까 숙제는 지금 해 놓으렴 .

彼と話しているうちに、私は彼のことが好きになってしまった。
그와 이야기하고 있는 동안에 나는 그가 좋아져버렸다 .

何回も聞いているうちにこの歌の歌詞を覚えました。
몇 번이나 듣고 있는 동안 노래의 가사를 외웠습니다 .

赤ちゃんが寝ているうちに、今日の晩ごはんを作っておきたい。
아기가 자고 있는 동안에 오늘 저녁 밥을 만들어 놓고 싶다 .

大切なことは忘れないうちにやらなけれななりません。
중요한 것은 잊기 전에 하지 않으면 안됩니다 .

雨が降らないうちにさっさと帰りましょう。
비가 안내리는 동안 빨리 집에 돌아갑시다 .

物心がつかないうちに、私の両親は離婚しました。
철이 들기전에 저희 부모님은 이혼했습니다 .",2026-04-08 21:27:49
8,～うる・える,동사 ます 형,"동사 ます 형 + うる・える ~ 할 수 있다
동사ます형 + えない ~ 할 수 없다","가능성을 나타내는 표현으로 , 능력을 나타내는 가능형의 표현으로는 쓸 수 없다 .","日ごろから十分気をつけていても事故は起こり得るよ。
평소부터 충분히 조심해도 사고는 발생할 수 있어 .

どんな人でも失敗する可能性はあり得るが、失敗したらその原因を考えて次に生かすことが大切だ。
어떤 사람이라도 실패할 가능성이 있을 수 있지만 실패하면 그 원인을 생각해서 다음에 활용하는 게 중요하다 .

食べすぎ、飲みすぎは成人病の原因になり得ます。
과식 , 과음은 성인병의 원인이 될 수 있습니다 .

起こり得るすべての可能性について検証することにしました。
일어날 수 있는 모든 가능성에 대해 검토하기로 했습니다 .

誰でもミスはあり得るんだから、今回の件はしかたないよ。
누구라도 실패는 할 수 있으니까 이번 건은 어쩔 수 없어 .

将来、海外で暮らすなんてあり得る話かな？それはわからないよ。
미래에 해외에서 사는 게 있을 수 있는 이야긴가 ? 그건 모르겠어 .

宇宙はこんなに広いし、わからないこともいっぱいなんだから、宇宙人の存在だってあり得る話だよね。
우주는 이렇게 넓고 모르는 것도 많이 있으니까 우주인의 존재도 있을 수 있는 이야기야 .

地震はいつ起こるか予測し得ないので、事前に避難場所について確認しておく必要がある。
지진은 언제 발생하지 예측하기 어렵기 때문에 사전에 피난장소에 대해 확인해둘 필요가 있다 .

彼女がいるのに浮気するなんてあり得ないよ。
여자친구가 있는데 바람을 피다니 있을 수 없어 .

うれしすぎて、今の気持ちは言葉で言い表し得ない。
너무 기뻐서 지금 기분은 말로 표현할 수 없다 .

彼が試験に落ちるなんてあり得ない。
그가 시험에서 떨어졌다니 있을 수 없어 .

これは私と彼しか知り得ない秘密なのに、どうして彼女が知っているの？
이것은 나와 그만 알 수 있는 비밀인데 어째서 그녀가 알고 있는 거야 ?",2026-04-08 21:28:23
9,～おそれがある,"명사のおそれがある
동사 보통형 + おそれがある",~할 우려가 있다,"뉴스나 신문에서 자주 쓰이는 딱딱한 표현으로 , 주로 나쁜 일이 일어날 가능성이 있다는 의미로 사용한다 .","明日は大雪のおそれがありますので、時間に余裕をもってお出かけください。
내일은 큰 눈이 내릴 우려가 있으므로 시간 여유를 가지고 외출해 주세요 .

このまま赤字が続くと、倒産のおそれがあるので、今のうちになんとかしなければいけない。
이대로 적자가 계속되면 도산의 우려가 있으므로 지금 어떻게든 하지 않으면 안돼 .

この動物は絶滅のおそれがあると言われている。
이 동물은 멸종위기라고 합니다 .

今回の地震による津波のおそれはありません。
이번 지진에 의한 해일의 우려는 없습니다 .

この薬はよく効きますが、副作用のおそれがあります。
이 약은 잘 듣습니다만 부작용의 우려가 있습니다 .

感電のおそれがありますので、近づかないでください。
감전의 우려가 있으므로 다가오지 말아주세요 .

災害のおそれがありますので、早めに非難をしてください。
재해의 우려가 있으므로 속히 피난해주시기 바랍니다 .

プライバシー侵害のおそれがあるので、放送局としてもこれ以上の報道は控えることにしました。
사생활 침해의 우려가 있으니 방송국도 이 이상의 정보는 삼가기로 했습니다 .

今日の夜から明日の朝にかけて、台風が上陸するおそれがあります。
오늘 밤부터 내일 아침에 걸쳐 태풍이 상륙할 우려가 있습니다 .

地震が発生したあとは、津波が来るおそれがありますので、十分に注意をしてください。
지진이 발생한 후에는 해일이 올 우려가 있으므로 충분히 주의해주세요 .

たばこを吸いすぎると肺がんになるおそれがあります。
담배를 너무 피면 폐암에 걸릴 우려가 있습니다 .

早く手術をしないと手遅れになるおそれがあります。
빨리 수술을 하지 않으면 손쓸 방도가 없을지도 모릅니다

今後、広い範囲で暴風雨になるおそれがあります。
앞으로 넓은 범위로 폭풍우가 될 우려가 있습니다 .

この会社の株価は今後下がるおそれがあるので、買わないでおくことにしました。
이 회사의 주가는 앞으로 떨어질 우려가 있으므로 사지 않기로 했습니다 .",2026-04-08 21:27:31
10,～限り、～ない限り,"限 り 가 명사이므로 명사 접속해주세요
동사 보통형 , い 형용사 기본형 , な 형용사 だ + な 등","～限り ~ 하는 한
～限りでは ~ 한 바로는
～ない限り ~ 하지 않는 한","～限 り , ～限 りでは
범위를 한정하는 표현
～ ない 限 り
앞 부분이 성립되야 뒷부분도 성립된다는 의미","父は体が続く限り、仕事をしたいと思っているようだ。
아빠는 몸이 허락하는 한 일을 하고 싶다고 생각하고 있는 것 같다 .

外は大雨だが、この避難所にいる限り、安全に過ごせるはずだ。
밖은 큰 비가 내리니 이 피난소에 있는 한은 안전하게 지낼 수 있을 것이다 .

学生である限り、勉強することは当然のことじゃないか？
학생인 이상 공부하는 것은 당연한 것 아닌가 ?

人間は生きている限り、良いことも悪いこともあるものだ。
인간은 살아있는 한 좋은 일도 나쁜 일도 있는 법이다 .

私は日本に住み続ける限り、日本語の勉強を続けるつもりです。
나는 일본에서 계속 사는 한 일본어 공부를 계속할 생각이다 .

今日見た限りではまだお花見をするには早いようでした。
오늘 본 걸로는 아직 벚꽃놀이를 하기에는 빠른 것 같았습니다 .

みんなで準備しない限り、明日のプレゼンテーションには間に合いそうにないよ。
모두와 준비하지 않는 한 내일의 프레젠테이션에는 맞출 수 있을 것 같지 않아 .

今、私たちが頑張って練習しない限り、優勝はありえない。
지금 우리들이 열심히 연습하지 않는 한 우승은 없어 .

謝らない限り、彼女は許してくれないと思う。
사과하지 않는 한 그녀는 용서해주지 않을 거라고 생각해 .

よほどのことがない限り、変更はありません。
대단한 일이 없는 한 변경은 없습니다 .

医者から今の生活習慣を変えない限り、成人病にかかる可能性が高いと言われました。
의사가 지금의 생활습관을 바꾸지 않는 한 성인병에 걸릴 가능성이 높다고 했습니다 .

何か対策を立てない限り、日本の少子化問題は解決しない。
뭔가 대책을 세우지 않는 한 일본의 저출산 문제는 해결 안된다 .",2026-04-08 21:29:55
