no,grammar,shape,meaning,interpretation,example,created_at
1,～かける、～かけの,동사ます형,"① ~ 하다 말다
② ~ 하기 시작하다
③ ~ 뻔 하다","일이 시작되었지만 , 마무리 되지 않은 단게","倉庫の屋根が壊れかけているので直さなければならない。
창고의 천장이 부서지려고 하기 때문에 고치지 않으면 안된다 .

手が滑って高い皿を落としかけた。
손이 미끄러져서 비싼 접시를 떨어트릴 뻔했다 .

この野菜、腐りかけているんじゃないかな？食べないほうがいいと思うよ。
이 채소 썩기 시작한 거 아냐 ? 안 먹는 편이 좋다고 생각해 .

プールで泳いでいたら、足がつっておぼれかけた。
수영장에서 수영하고 있었더니 발에 쥐가 와서 물에 빠질 뻔했다 .

あの電気、切れかけていない？新しいものと変えたほうがいいね。
저 불 나가기 직전 이지 않아 ? 새로운 것으로 바꾸는 편이 좋겠어 .

廊下に水がこぼれていたせいで、滑って転びかけた。
복도에 물이 쏟아져 있던 탓에 미끄러 넘어질 뻔했다 .

彼女は何か言いかけたが、結局何も言わず、うつむいたままだった。
그녀는 뭔가 말하려 했지만 결국 아무 말도 안하고 고개를 숙인 채였다 .

彼のことを嫌いになりかけたけれど、優しくされてまた好きになってしまった。
그를 싫어하게 될 뻔했지만 다정하게 해줘서 다시 좋아져버렸다 .

机の上に飲みかけのジュースが置いてある。
책상 위에 마시다가 만 주스가 놓여있다 .

うちの子は、やりかけの宿題をおいて、友達の家に遊びに行ってしまいました。
우리 애는 하다 만 숙제를 놔두고 친구네 집에 놀러 가버렸습니다 .

現場には書きかけの遺書が残されていた。
현장에는 쓰다 만 유서가 놓여있었다 .

鈴木さんは図書館で読みかけの本を机の上に置いて、席を離れた。
스즈키씨는 도서관에서 읽다 만 책을 책상위에 두고 좌석을 떠났다 .",2026-04-20 22:43:15
2,～がちだ,"동사 ます 형 , 명사","자주 ~ 하다 , ~ 하는 경향이 있다",주로 부정적인 경향이 되기 쉽다는 의미로 사용한다.,"良くないことが続いて、最近ちょっと気分が沈みがちだ。
좋지 않은 일이 계속되어 요즘 좀 기분이 침체되기 쉽다 .

木村さん、最近休みがちだけど何かあったのかな？
기무라씨 요즘 자주 쉬는데 무슨 일 있던 걸까 ?

最近、野菜が不足しているせいか、便秘がちだ。
요즘 채소가 부족한 탓인지 변비가 계속된다 .

一人暮らしだと外食も多いし、栄養が偏りがちだよね。
혼자 살면 외식도 많고 영양이 치우쳐 지기 쉬워 .

彼女は細いので少食だと思われがちだが、実はよく食べるんですよ。
그녀는 날씬해서 소식한다고 생각되기 쉽지만 실은 잘 먹습니다 .

大学を卒業してしばらくは友達と会ったりもしますが、結局は仕事も忙しくなって疎遠になりがちです。
대학을 졸업하고 얼마간은 친구들과 만나거나 하기도 하지만 결국은 일도 바빠져서 소원해지기 쉽습니다 .

人は自分に好意を示してくれる人を好きになりがちである。
사람은 자신에게 호의를 표한 사람을 좋아하게 되기 쉽다 .

暑い夏は冷たいものを食べがちで、お腹を壊してしまうことがある。
더운 여름은 찬 것을 자주 먹어서 배탈이 나버리는 일이 있다 .

最近私は仕事が忙しくて、運動不足になりがちです。
요즘 나는 일이 바빠서 운동부족이 되지 쉽다 .

このミスは初心者にはありがちなことですから気にしなくていいですよ。次に気をつければいいだけですから。
이 실수는 초심자에게는 자주 있는 일이니까 신경 쓰지 않아도 됩니다 . 다음에 조심하면 되니까요 .

弟は病気がちで学校を休むことが多いです。
남동생은 자주 아파서 학교를 쉬는 일이 많았습니다 .

今日は朝から曇りがちな天気ですね。
오늘은 아침부터 흐려지기 쉬운 날씨네요 .

明日は曇りがちの天気でしょう。
내일은 구름이 많이 끼는 날씨겠습니다 .",2026-04-20 22:43:43
3,～(か)と思ったら・～(か)と思うと,"동사 보통형, 명사 등","~ 라고 생각했더니 , ~ 는가 싶더니","A かと思ったら B 형태로 ,  ‘A 인줄 알았더니 B 이다 ‘ 라는 의미 .
～ ( か ) と思うと 형태로 쓰기도 한다","急に暗くなったかと思ったら大雨が降ってきた。
갑자기 어두워졌다고 생각했더니 큰 비가 내렸다 .

赤ちゃんがようやく泣き止んだと思ったらまた泣き始めました。
아기가 드디어 울음을 그쳤다고 생각했는데 또 울기 시작했습니다 .

うちの息子は学校から帰ってきたかと思ったらすぐに遊びに行ってしまった。
아들은 학교에서 돌아왔다고 생각했더니 바로 놀러 가버렸다 .

やっと週末が来たと思ったらもう月曜日だ。
드디어 주말이 왔다고 생각했는데 벌써 월요일이다 .

警察が来たので何事かと思ったら、近所で窃盗事件があったらしい。
경찰이 왔기 때문에 무슨 일인가 하고 생각했는데 근처에서 절도사건이 있었다는 것 같다 .

あの人、女性かと思ったら男性でした。
저 사람 여자라고 생각했더니 남자였습니다 .

母に叱られるかと思ったら褒められた。
엄마에게 혼날까 생각했는데 칭찬받았다 .

このお土産、有名かと思ったら全然有名じゃありませんでしたが、私は気に入っています。
이 토산품 유명하다고 생각했는데 전혀 유명하지 않았습니다만 , 나는 맘에 듭니다 .

彼は学校に来ていたので元気かと思ったら、まだ毎日病院に通っているとのことでした。
그는 학교에 왔기 때문에 건강하다고 생각했는데 또 매일 병원에 다니고 있다는 것이었습니다 .

彼女が自分の部屋が汚い、汚いというので、どれほど汚いかと思ったら、全然汚くなかった。
그녀가 자신의 방이 더럽다고 하도 말해서 어느 정도인가 하고 생각했는데 전혀 더럽지 않았다 .

友達が勉強していないというので、本当にしていないかと思ったら、そうではなく、試験で満点を取っていた。
친구가 공부하고 있지 않다고 해서 정말 하지 않고 있다고 생각했는데 그렇지 않았고 시험에서 만점 받았다 .

このお菓子、すごい美味しいのかとおもったら、そうでもなかった。
이 과자 엄청 맛있나 하고 생각했는데 그렇지도 않았다 .",2026-04-20 22:44:18
4,～か～ないかのうちに,"동사 기본형, 동사 부정형 ( ない 형 )","~ 하자마자 , ~ 함과 동시에",앞 일이 일어남과 직후에 ( 거의 동시에 ) 뒷일이 생긴다.,"韓国のバスは席に座るか座らないかのうちに発車するので気をつけなければいけません。
한국 버스는 좌석에 앉자마자 출발하기 때문에 조심하지 않으면 안됩니다 .

娘は布団に入るか入らないかのうちに寝てしまいました。
딸은 이불에 들어가자마자 자버렸습니다 .

映画が終わるか終わらないかのうちに、観客が席を立ち始めました。
영화가 끝나자마자 관객이 자리에서 일어나기 시작했습니다 .

学生たちはチャイムが鳴るか鳴らないかのうちに購買に昼ごはんを買いに行った。
학생들은 종이 울리자마자 매점으로 점심밥을 사러 갔다 .

彼は吸い終わるか終わらないかのうちに、また新しいたばこに火をつけました。
그는 다 피자마자 새로운 담배에 불을 붙였습니다 .

久しぶりのせいか、10分運動するかしないかのうちに体のあちこちが痛くなってきた。
오랜만인 탓인지 10 분 운동하자마자 몸 여기저기가 아파졌다 .",2026-04-20 22:44:50
5,～かのようだ,"동사 보통형 , い 형용사 보통형 , な 형용사 보통형 , 명사 である 등",마치 ~인 듯 하다,"실제는 그렇지 않지만 ‘~ 처럼 보인다 , ~ 같다 ’ 무언가에 비유할 때 사용하는 표현","4月なのに今日は寒くなりましたね。まるで冬に戻ったかのようだ。
4 월인데 오늘은 추워졌네요 . 마치 겨울로 되돌아간 것 같네 .

彼女は悲しい出来事があったばかりなのに、何事もなかったかのようにふるまっていた。
그녀는 얼마전에 슬픈 일이 있었는데 아무 일도 없었던 것 같이 행동하고 있다 .

彼はなんでも知っているかのように話してくるけれど、あの態度、どうにかならないかな。
그는 뭐든 알고 있는 듯이 말해주는데 , 저 태도 어떻게 안되려나 ?

母は、私がコンクールで優勝した時に自分が優勝したかのように喜んでくれました。
엄마는 내가 콩쿠르에서 우승했을
때는 자신이 우승한 듯이 기뻐해 주었다 .

彼女はこれらのデザートを自分一人で作ったかのように自慢していましたが、本当はみんなで作ったものなんです。
그녀는 이 디저트들을 자기 혼자 만든 듯이 자랑하고 있습니다만 사실은 모두 함께 만든 것입니다 .

あの二人は姉妹かのように見えますが、実は親子なんですよ。
저 두사람은 자매처럼 보입니다만 실은 모녀입니다 .

どうしてこんなに大きいかばんで旅行に来たの？まるで海外旅行に行くかのような準備じゃない。
왜 이렇게 큰 가방으로 여행에 왔어 ? 마치 해외여행에 가는 듯한 준비잖아 .

この食品サンプルはよくできているよね。まるで食べられるかのようだ。
이 식품 샘플은 잘 만들어졌네요 . 마치 먹을 수 있을 것 같다 .

本当のことを言ったのに、嘘をついているかのようにせめられた。
사실을 말했는데 거짓말을 친 것 마냥 비난받았다 .

彼女はまるで幽霊を見たかのように真っ青な顔をして立っていました。
그녀는 마치 유령을 본 것처럼 새파랗게 질린 얼굴로 서있었습니다 .

彼女とは今日、初めて会ったのに、まるで昔から知っているかのように話が盛り上がった。
그녀와는 오늘 처음 만났는데 마치 예전부터 알고 있었던 거 같이 이야기가 고조되었다 .

彼女が作ってくれた料理を大好物かのように食べたけれど、実はあまり好きな料理じゃなかったんだ。
그녀가 만들어 준 음식을 엄청 좋아하는 것처럼 먹었지만 실은 그다지 좋아하는 음식이 아니었어 .",2026-04-20 22:45:25
6,～から～にかけて,명사 から 명사 にかけて,~ 부터 ~ 에 걸쳐서,"～ から ～ まで 와 한국어 해석이 비슷하지만 , 다른 점은 ～ から ～ にかけて 의 시작점과 끝지점이 명확하지 않다는 것이다 .
예) 중부지방부터 남부지방에 걸쳐 , 저녁부터 다음날 아침에 걸쳐","今日の午後から明日の朝にかけて雷をともなう雨が降るでしょう。
오늘 오후부터 내일 아침에 걸쳐 천둥을 동반한 비가 내리겠습니다 .

日本では3月下旬から4月にかけて桜が見られる。
일본에서는 3 월 하순부터 4 월에 걸쳐 벚꽃을 볼 수 있다.

年末から年始にかけて私は実家に帰ろうと思います。
연말부터 연시에 걸쳐 나는 본가에 돌아가려고 합니다 .

当時、このゲームは小学生から高校生にかけて幅広く人気があった。
당시 이 게임은 초등학생부터 고등학생에 걸쳐 폭넓은 인기가 있었다 .

関東地方から東北地方にかけて地震の被害が出ています。
관동지방에서 동북지방에 걸쳐 지진의 피해가 나왔습니다 .

沖縄では今日の夜から明日の昼にかけて台風が上陸する見込みです。
오키나와에서는 오늘 밤부터 내일 낮에 걸쳐 태풍이 상륙할 전망입니다 .

日本では6月から7月中旬にかけて梅雨の時期ですが、韓国ではどうですか。
일본에서는 6 월부터 7 월중순에 걸쳐 장마철입니다만 한국은 어떻습니까 ?

台風は夏から秋にかけて発生しやすい。
태풍은 여름에서 가을에 걸쳐 발생하기 쉽다 .

明日は九州地方から関東地方の広い範囲にかけて大雨が降るでしょう。
내일은 큐슈지방에서 관동지방의 넓은 범위에 걸쳐 큰 비가 내리겠습니다 .

人気歌手グループの全国ツアーが6月から9月にかけて開催されることになりました。
인기가수 그룹의 전국투어는 6 월에서 9 월에 걸쳐 개최되게 되었습니다 .

今月から来月にかけて60歳から64歳までの方は予防接種の対象となっています。
이번달부터 다음달에 걸쳐 60 세에서 64 세까지의 분은 예방접종 대상입니다 .

最近、肩から腰にかけて痛いから、ちょっとマッサージを受けたほうがいいかな？
최근 어깨부터 허리에 걸쳐 아프니까 마사지를 받는 편이 좋을까 ?

この観光地は若い人からお年寄りまで幅広く人気がある。
이 관광지는 젊은 사람부터 나이 드신 분까지 폭넓게 인기가 있다 .

交通事故に遭って、まだ腰からお尻にかけて痛みがある。
교통사고를 당해 아직 허리부터 엉덩이에 걸쳐 통증이 있다

この近辺のお店はオフィス街なので、12時から1時ごろにかけて混みます。
이 근방의 가게는 오피스가여서 12 시부터 1 시즈음에 걸쳐 혼잡합니다 .",2026-04-20 22:45:43
7,～からいうと・～からいえば・～からいって,명사,"~로 보아, ~의 입장에서 보아, ~의 입장에서 생각하면","～からすると・～からすれば・～からして
～からみると・～からみれば・～からみて
～からいうと・～からいえば・～からいって
위 9 개는 비슷한 의미로 사용됩니다 . 묶어서 외워 주세요 .","経験から言うと、結婚は忍耐だよ。
경험에서 보면 결혼은 인내야 .

実力から言うと、彼の方が上だと思う。
실력으로 보면 그가 위라고 생각해 .

結論から言うと、その判断は間違っていると思うよ。
결론으로 말하자면 그 판단은 틀렸다고 생각해 .

費用面から言えば、こちらのプランの方がお得だけれど、デザインはあちらのプランのほうがいいね。
비용면에서 보면 이쪽의 플랜이 더 이득이지만 디자인은 저쪽의 플랜이 좋아 .

弟の性格から言えば、医者は向いているとは思えないが、本人がなりたいのなら頑張ればいい。
남동생의 성격으로 보자면 의사는 어울리지 않는다고 생각되지만 , 본인이 되고 싶은 거라면 열심히 하면 된다 .

私の経験から言えば、海外への留学はやってみる価値があると思います。
나의 경험으로 보자면 해외로의 유학은 해 볼 가치가 있다고 생각합니다 .

彼女の実力から言って、今回の試験で合格するのは難しいだろう。
그녀의 실력으로 보자면 이번 시험에서 합격하는 것은 어렵겠지 .

模擬試験の成績から言って、彼の志望校合格は確実だと思います。
모의시험의 성적으로 보자면 그의 지망 학교 합격은 확실하다고 생각합니다.

4人の子供を大学まで行かせることは、我が家の経済状況から言ってとても大変です。
4 명의 아이를 대학까지 보내는 것은 우리집의 경제 상황으로 볼 때 매우 힘듭니다 .",2026-04-20 22:47:44
8,～からして,명사,"① ~ 부터가
② ~ 으로 보아","① ~ 부터가 : 이것도 그렇지만 나머지도 그렇다.
② ~ 으로 보아 : ～からすると 、 ～からして 와도 바꿔 쓸 수 있다 .","タイの言語は文字からして難しそうだよね。
타이의 언어는 문자부터가 어려워 보여 .

やっぱり一流レストランは食器からして違うね。
역시 일류레스토랑은 식기부터가 다르네 .

このホテルは従業員の挨拶からしてなっていない。
이 호텔은 종업원의 인사부터가 별로다 .

さすが芸能人だよね。靴からしておしゃれだ。
역시 연예인이네 , 신발부터가 멋져 .

ここのレストランは水一杯からして高いんだよ。
여기 레스토랑은 물 한잔부터 비싸 .

このお店は雰囲気からしておいしそうだよね。入ってみようか。
이 가게는 분위기부터가 맛있어 보이네 , 들어가 볼까 ?

このパン屋さんはにおいからしておいしそうだ。
이 빵가게는 냄새로 보아 맛있을 거 같아 .

新しく来た先生は話し方からして厳しそうだ。
새로 온 선생님은 말투로 보아 엄격할 거 같다 .

彼女の話し方からして、ちょっと怒っていることがわかった。
그녀의 말투로 보아 좀 화난 것을 알 수 있었다 .

彼は目つきからして怖そうなことがわかる。
그는 눈매로 보아 무서울 거 같다는 걸 알 수 있다 .

あの服装からして、彼はお金持ちだと思う。
저 복장으로 보아 그는 부자라고 생각해 .

あの様子からして、彼女は試験に合格したんだと思うよ。
저 상태로 보아 그녀는 시험에 합격했다고 생각해 .",2026-04-20 22:48:16
9,～からすると・～からすれば・～からして,명사,"~로 보아, 의 입장에서 보아, ~의 입장에서 생각하면","からして 의 다른 용법도 있으니 , 꼭 병행해서 학습해 주세요.","この料理、見た目からしておいしそうに見えないけど、大丈夫？
이 요리 생긴 것부터가 맛있어 보이지 않는데 괜찮아 ?

申し訳ないんだけど、説明からしてわからないんだけど、一体、何をどうしたいのですか。
미안하지만 , 설명부터 이해가 안되는데 대체 뭘 어떻게 하고 싶은 겁니까 ?

今のうちの経済状況からして、新車を買うのは難しいです。
지금 현재의 경제 상황으로 새 차를 사는 것은 어렵습니다 .

あの健康状態からして、まだ運動は大変だと思うよ。
저 건강상태로 보면 아직 운동은 큰일이라고 생각해 .

この部屋、汚いね。この状態からすると、一ヶ月は掃除していないと思う。
이 방 더럽네 . 이 상태로 보면 한달은 청소 안 했을 거라고 생각해 .

イさんの実力からすると、十分志望校に合格できると思いますよ。
이씨의 실력으로 보면 충분히 지망학교에 합격 가능할 거라고 생각합니다 .

田中さん、あの様子からすると、なんかいいことでもあったんだと思うよ。
다나카씨 저 모습을 보면 뭔가 좋은 일이라도 있었던 것 같아 .

おかしいな。行きたいレストラン、地図からするとこの近くにあるはずなんだけど。
이상하네 , 가고 싶은 레스토랑 지도에서 보면 이 근처에 있을텐데 .

あの選手、歩き方からすると、足を強く打ったのではないでしょうか。そうとう痛そうですね。
저 선수 , 걸음걸이를 보면 발을 강하게 맞은 거 아닐까 ? 꽤 아파 보이네요 .

あの態度からすると、妻はまだ怒っているように思える。
저 태도를 보면 아내는 아직도 화나 있는 것 같다 .

韓国人からすると、家の中にくつを履いたまま入るなんて考えられません。
한국인의 입장으로 보면 집 안에 신발을 신은 채 들어가는 건 생각할 수 없습니다 .

外国人からすると、ひらがな、カタカナ、漢字がある日本語は難しくて大変です。
외국인의 입장에서 보면 히라가나 , 가타가나 , 한자가 있는 일본어는 어려워서 힘듭니다 .

太りやすい私からすると、食べても太らない人が本当にうらやましいです。
살찌기 쉬운 내 입장에서 보면 먹어도 찌지 않는 사람이 진짜 부럽습니다 .

親の立場からすると、子供が健康で幸せに暮らすのが一番うれしい。
부모의 입장에서 보면 아이가 건강하고 행복하게 자라는게 가장 기쁘다 .

迷っちゃうな。デザインからするとこちらの服が好きなんですが、色はあちらの服の方がいいんですよね。
고민되네 , 디자인을 보면 이쪽 옷이 좋습니다만 색은 저쪽 옷이 좋아요 .

これは大人からすればそれは簡単そうに見えるけれど、子供には難しい作業です。
이것은 어른이 보면 간단하게 보이지만 아이에게는 어려운 작업입니다.

学校側からすれば今回の問題を何事もなかったかのように解決したいはずだ。
학교측에서 보면 이번 문제를 아무 일도 없었던 듯 해결하고 싶을 것이다.

日本人からすれば漢字は難しくないけれど、韓国人からするときっと難しいと思いますよ。
일본인 입장에서 한자는 어렵지 않지만 한국인 입장에서는 분명 어렵다고 생각합니다.",2026-04-20 22:48:28
10,～からといって,"동사 기본형 , い 형용사 기본형 , な 형용사 기본형 , 명사 だ 등",~ 라고 해서,뒤에 ～わけではない、～とはかぎらない、～とはいえない 등과 자주 호응한다 .,"お金持ちだからといって幸せとは限らない。
부자라고 해서 행복하다고는 할 수 없다 .

ハンサムだからといって男性がもてるとは限らないよ。性格も良くないとね。
잘생겼다고 해서 남성이 인기가 많다고는 할 수 없어 . 성격도 좋지 않으면 .

日本に長く住んだからといって、日本語が上手とは限らないよ。
일본에 오래 살았다고 해서 일본어를 잘한다고는 할 수 없어 .

自分が好きだからといって、相手も好きだとは限らないよね。
자신이 좋다고 해서 상대도 좋아한다고는 할 수 없다 .

最近は一流大学を出たからといって、この先の人生が明るいわけではない。
요즘엔 일류대학을 나왔다고 해서 앞으로의 인생이 밝은 건 아니다 .

好きだからといって、こんなに買ってきても食べ切れないよ。
좋아한다고 해서 이렇게 사와도 다 못 먹어 .

暑いからといって冷たいものを飲みすぎるとお腹を壊しますよ。
덥다고 해서 찬 것을 너무 많이 마시면 배탈납니다 .

努力したからといって、みんなが成功するとは限らないけれど、成功するには努力は必要だよ。
노력했다고 해서 모두가 성공한다고는 할 수 없지만 성공하기에는 노력이 필요하다 .

やせたいからといって、ごはんを全く食べないのは健康に良くありません。
마르고 싶다고 해서 밥을 전혀 먹지 않는 것은 건강에 좋지 않습니다 .

海外旅行に行きたいからといってすぐに行けるものでもない。まずお金を貯めないといけない。
해외여행에 가고 싶다고 해서 바로 갈 수 있는 것도 아니야 . 우선 돈을 모으지 않으면 안돼 .

失敗したからといってだめなわけじゃない。また挑戦すればいいだけだ。
실패했다고 해서 안되는 건 아니야 . 또 도전하면 돼 .

語学は頭でわかったからといってすぐ話せるものではない。話せるようにするためには話す練習をしないといけない。
어학은 머리로 알았다고 해서 바로 말 할 수 있는 것이 아니야 . 말 할 수 있게 하기 위해 말하는 연습을 하지 않으면 안된다 .",2026-04-20 22:49:12
