no,word,meaning,hiragana,memorized,memorized_at,created_at
1,高価,고가,こうか,yes,2026-03-24 20:16:46,2026-03-24 19:19:25
2,小型,소형,こがた,yes,2026-03-24 21:27:10,2026-03-24 19:19:25
3,断る,거절하다,ことわる,yes,2026-03-24 21:27:14,2026-03-24 19:19:25
4,産業,산업,さんぎょう,yes,2026-03-24 20:16:43,2026-03-24 19:19:25
5,選手,선수,せんしゅ,yes,2026-03-24 20:16:49,2026-03-24 19:19:25
6,退院,퇴원,たいいん,yes,2026-03-24 20:16:59,2026-03-24 19:19:25
7,朝刊,조간,ちょうかん,yes,2026-04-07 22:10:30,2026-03-24 19:19:25
8,広場,광장,ひろば,yes,2026-03-24 20:16:30,2026-03-24 19:19:25
9,夫婦,부부,ふうふ,yes,2026-03-24 20:16:25,2026-03-24 19:19:25
10,復習,복습,ふくしゅう,yes,2026-03-24 20:19:21,2026-03-24 19:19:25
11,細い,좁다,ほそい,yes,2026-04-07 22:15:56,2026-03-24 19:19:25
12,汚す,더럽히다,よごす,yes,2026-04-06 23:23:31,2026-03-24 19:19:25
13,留守,부재중,るす,yes,2026-03-24 19:20:21,2026-03-24 19:19:25
14,横断,횡단,おうだん,yes,2026-03-24 20:19:45,2026-03-24 19:19:25
15,計算,계산,けいさん,yes,2026-04-05 19:45:49,2026-03-24 19:19:25
16,現在,현재,げんざい,yes,2026-03-24 19:22:38,2026-03-24 19:19:25
17,複数,복수,ふくすう,yes,2026-03-24 20:20:08,2026-03-24 19:19:25
18,夕日,석양,ゆうひ,yes,2026-03-24 21:45:56,2026-03-24 19:19:25
19,角,모퉁이/각,かど,yes,2026-04-07 22:10:20,2026-03-24 19:19:25
20,血圧,혈압,けつあつ,yes,2026-04-05 19:45:53,2026-03-24 19:19:25
21,情報,정보,じょうほう,yes,2026-03-24 21:46:17,2026-03-24 19:19:25
22,丸い,둥글다,まるい,yes,2026-03-24 20:20:12,2026-03-24 19:19:25
23,有名だ,유명하다,ゆうめいだ,yes,2026-03-24 20:17:24,2026-03-24 19:19:25
24,比べる,비교하다,くらべる,yes,2026-04-06 23:25:40,2026-03-24 19:19:25
25,件,건,けん,yes,2026-03-24 20:15:45,2026-03-24 19:19:25
26,包む,싸다/포장하다,つつむ,yes,2026-03-24 20:20:48,2026-03-24 19:19:25
27,難しい,어렵다,むずかしい,yes,2026-03-24 20:17:32,2026-03-24 19:19:25
28,容器,용기/그릇,ようき,yes,2026-03-24 20:20:51,2026-03-24 19:19:25
29,裏,뒤/뒷면,うら,yes,2026-04-06 23:26:25,2026-03-24 19:19:25
30,過去,과거,かこ,yes,2026-03-24 20:21:19,2026-03-24 19:19:25
31,悲しい,슬프다,かなしい,yes,2026-04-06 23:25:45,2026-03-24 19:19:25
32,恋しい,그립다,こいしい,yes,2026-03-24 19:23:12,2026-03-24 19:19:25
33,呼吸,호흡,こきゅう,yes,2026-03-24 21:46:29,2026-03-24 19:19:25
34,自然,자연,しぜん,yes,2026-03-24 20:21:23,2026-03-24 19:19:25
35,増減,증감,ぞうげん,yes,2026-04-07 22:15:29,2026-03-24 19:19:25
36,駐車,주차,ちゅうしゃ,yes,2026-03-24 20:21:34,2026-03-24 19:19:25
37,通知,통지,つうち,yes,2026-03-24 20:21:31,2026-03-24 19:19:25
38,動作,동작,どうさ,yes,2026-03-24 20:21:17,2026-03-24 19:19:25
