no,word,meaning,hiragana,memorized,memorized_at,created_at
1,表す,나타내다,あらわす,yes,2026-03-25 20:02:21,2026-03-25 00:39:37
2,美しい,아름답다,うつくしい,yes,2026-03-25 20:01:24,2026-03-25 00:39:37
3,首,목,くび,yes,2026-03-25 19:55:33,2026-03-25 00:39:37
4,経営学,경영학,けいえいがく,yes,2026-03-25 20:01:20,2026-03-25 00:39:37
5,血液型,혈액형,けつえきがた,yes,2026-03-25 20:01:14,2026-03-25 00:39:37
6,支給,지급,しきゅう,yes,2026-03-25 20:02:32,2026-03-25 00:39:37
7,想像,상상,そうぞう,yes,2026-03-25 20:02:36,2026-03-25 00:39:37
8,朝食,조식,ちょうしょく,yes,2026-03-25 20:02:29,2026-03-25 00:39:37
9,伝える,전하다,つたえる,yes,2026-03-25 20:01:26,2026-03-25 00:39:37
10,荷物,짐,にもつ,yes,2026-03-25 19:56:12,2026-03-25 00:39:37
11,分類,분류,ぶんるい,yes,2026-03-25 19:55:45,2026-03-25 00:39:37
12,平均,평균,へいきん,yes,2026-03-25 19:55:53,2026-03-25 00:39:37
13,変化,변화,へんか,yes,2026-03-25 19:55:50,2026-03-25 00:39:37
14,干す,말리다,ほす,yes,2026-04-06 23:21:23,2026-03-25 00:39:37
15,湖,호수,みずうみ,yes,2026-03-25 20:01:56,2026-03-25 00:39:37
16,汚れる,더러워지다,よごれる,yes,2026-03-25 20:01:11,2026-03-25 00:39:37
17,相手,상대,あいて,yes,2026-03-25 19:56:02,2026-03-25 00:39:37
18,厚い,두껍다,あつい,yes,2026-03-25 19:56:29,2026-03-25 00:39:37
19,一般的だ,일반적이다,いっぱんてきだ,yes,2026-03-25 19:55:40,2026-03-25 00:39:37
20,応用,응용,おうよう,yes,2026-03-25 19:55:58,2026-03-25 00:39:37
21,覚える,기억하다,おぼえる,yes,2026-03-25 20:01:34,2026-03-25 00:39:37
22,替える,"바꾸다, 교환하다 (사람·물건 교대)",かえる,yes,2026-03-25 20:01:29,2026-03-25 00:39:37
23,検査,검사,けんさ,yes,2026-03-25 19:56:05,2026-03-25 00:39:37
24,広告,광고,こうこく,yes,2026-03-25 19:56:41,2026-03-25 00:39:38
25,呼吸,호흡,こきゅう,yes,2026-03-25 19:56:38,2026-03-25 00:39:38
26,自然,자연,しぜん,yes,2026-03-25 19:56:09,2026-03-25 00:39:38
27,集中,집중,しゅうちゅう,yes,2026-03-25 19:56:48,2026-03-25 00:39:38
28,商業,상업,しょうぎょう,yes,2026-04-06 23:21:30,2026-03-25 00:39:38
29,食器,식기,しょっき,yes,2026-03-25 19:56:52,2026-03-25 00:39:38
30,大会,대회,たいかい,yes,2026-03-25 19:56:55,2026-03-25 00:39:38
31,横,옆/가로,よこ,yes,2026-03-25 20:01:50,2026-03-25 00:39:38
32,割れる,갈라지다/깨지다,われる,yes,2026-03-25 20:01:37,2026-03-25 00:39:38
33,浅い,얕다,あさい,yes,2026-03-25 19:57:37,2026-03-25 00:39:38
34,改札,개찰,かいさつ,yes,2026-03-25 19:57:41,2026-03-25 00:39:38
35,各地,각지,かくち,yes,2026-03-25 19:56:57,2026-03-25 00:39:38
36,苦しい,괴롭다,くるしい,yes,2026-03-25 20:01:39,2026-03-25 00:39:38
37,事情,사정,じじょう,yes,2026-03-25 19:57:04,2026-03-25 00:39:38
38,実力,실력,じつりょく,yes,2026-04-06 23:21:36,2026-03-25 00:39:38
39,出張,출장,しゅっちょう,yes,2026-03-25 19:57:45,2026-03-25 00:39:38
40,席,자리,せき,yes,2026-03-25 20:01:45,2026-03-25 00:39:38
41,選手,선수,せんしゅ,yes,2026-03-25 19:58:01,2026-03-25 00:39:38
42,貯金,저금,ちょきん,yes,2026-04-06 23:21:40,2026-03-25 00:39:38
43,通知,통지,つうち,yes,2026-03-25 19:58:22,2026-03-25 00:39:38
44,根,뿌리,ね,yes,2026-03-25 20:02:10,2026-03-25 00:39:38
45,生える,(풀/이/머리 등)나다,はえる,yes,2026-03-25 20:01:42,2026-03-25 00:39:38
46,文章,문장,ぶんしょう,yes,2026-03-25 19:57:54,2026-03-25 00:39:38
47,留守,부재중,るす,yes,2026-03-25 19:57:57,2026-03-25 00:39:38
48,笑う,웃다,わらう,yes,2026-03-25 19:57:12,2026-03-25 00:39:38
49,合図,(눈짓/몸짓/소리)신호,あいず,yes,2026-03-25 19:57:10,2026-03-25 00:39:38
50,汗,땀,あせ,yes,2026-03-25 20:02:12,2026-03-25 00:39:38
51,以降,이후,いこう,yes,2026-03-25 19:58:18,2026-03-25 00:39:38
52,笑顔,웃는 얼굴,えがお,yes,2026-03-25 19:58:33,2026-03-25 00:39:38
53,横断,횡단,おうだん,yes,2026-03-25 19:58:29,2026-03-25 00:39:38
54,固い,단단하다/굳다,かたい,yes,2026-03-25 19:58:15,2026-03-25 00:39:38
55,完成,완성,かんせい,yes,2026-03-25 19:58:10,2026-03-25 00:39:38
56,配る,분배하다/배포하다,くばる,yes,2026-03-25 19:58:38,2026-03-25 00:39:38
57,外科,외과,げか,yes,2026-03-25 19:58:25,2026-03-25 00:39:38
58,困る,곤란하다,こまる,yes,2026-03-25 19:57:15,2026-03-25 00:39:38
59,島,섬,しま,yes,2026-03-25 20:02:15,2026-03-25 00:39:38
60,示す,가리키다/보이다/나타내다,しめす,yes,2026-03-25 19:57:24,2026-03-25 00:39:38
61,卒業,졸업,そつぎょう,yes,2026-03-25 19:59:11,2026-03-25 00:39:38
62,他人,타인,たにん,yes,2026-03-25 19:57:18,2026-03-25 00:39:38
63,平日,평일,へいじつ,yes,2026-03-25 19:59:06,2026-03-25 00:39:38
64,短い,짧다,みじかい,yes,2026-03-25 19:59:26,2026-03-25 00:39:38
65,応募,응모,おうぼ,yes,2026-03-25 19:59:00,2026-03-25 00:39:38
66,遅れる,늦다,おくれる,yes,2026-03-25 20:02:06,2026-03-25 00:39:38
67,折る,접다/꺾다,おる,yes,2026-03-25 19:59:23,2026-03-25 00:39:38
68,返す,돌리다/돌려주다,かえす,yes,2026-03-25 19:59:31,2026-03-25 00:39:38
69,価格,가격,かかく,yes,2026-03-25 19:59:07,2026-03-25 00:39:38
70,過去,과거,かこ,yes,2026-03-25 19:59:37,2026-03-25 00:39:38
71,疑問,의문,ぎもん,yes,2026-03-25 19:59:42,2026-03-25 00:39:38
72,協力,협력,きょうりょく,yes,2026-03-25 19:59:34,2026-03-25 00:39:38
73,首都,수도,しゅと,yes,2026-04-07 22:15:54,2026-03-25 00:39:38
74,情報,정보,じょうほう,yes,2026-03-25 19:59:46,2026-03-25 00:39:38
75,単語,단어,たんご,yes,2026-03-25 19:57:26,2026-03-25 00:39:38
76,地球,지구,ちきゅう,yes,2026-03-25 19:59:50,2026-03-25 00:39:38
77,到着,도착,とうちゃく,yes,2026-03-25 19:59:52,2026-03-25 00:39:38
78,発表,발표,はっぴょう,yes,2026-03-25 19:59:54,2026-03-25 00:39:38
79,表面,표면,ひょうめん,yes,2026-03-25 20:00:06,2026-03-25 00:39:38
80,深い,깊다,ふかい,yes,2026-03-25 20:00:09,2026-03-25 00:39:38
81,息,숨,いき,yes,2026-03-25 20:02:19,2026-03-25 00:39:38
82,岩,바위,いわ,yes,2026-03-25 20:02:16,2026-03-25 00:39:38
83,移す,옮기다,うつす,yes,2026-03-25 20:00:41,2026-03-25 00:39:38
84,空席,공석,くうせき,yes,2026-03-25 20:00:39,2026-03-25 00:39:38
