no,word,meaning,hiragana,memorized,memorized_at,created_at
1,降りる,내리다,おりる,yes,2026-04-05 19:09:33,2026-03-25 21:52:27
2,会費,회비,かいひ,yes,2026-04-05 19:15:04,2026-03-25 21:52:27
3,必ず,반드시,かならず,yes,2026-04-05 19:15:07,2026-03-25 21:52:27
4,空,(속이)빔,から,yes,2026-04-05 19:09:44,2026-03-25 21:52:27
5,帰宅,귀가,きたく,yes,2026-04-05 19:09:30,2026-03-25 21:52:27
6,細かい,작다 잘다,こまかい,yes,2026-04-05 19:09:32,2026-03-25 21:52:27
7,心配する,걱정하다,しんぱいする,yes,2026-04-05 19:09:48,2026-03-25 21:52:27
8,制服,교복,せいふく,yes,2026-04-05 19:09:28,2026-03-25 21:52:27
9,短気だ,성질이 급하다,たんきだ,yes,2026-04-05 19:09:35,2026-03-25 21:52:27
10,法律,법률,ほうりつ,yes,2026-04-05 19:10:46,2026-03-25 21:52:27
11,焼く,굽다,やく,yes,2026-04-05 19:10:48,2026-03-25 21:52:27
12,薬局,약국,やっきょく,yes,2026-04-05 19:11:16,2026-03-25 21:52:27
13,胃,(사람의 장기) 위,い,yes,2026-04-05 19:14:57,2026-03-25 21:52:27
14,一般的だ,일반적이다,いっぱんてきだ,yes,2026-04-05 19:09:47,2026-03-25 21:52:27
15,笑顔,웃는 얼굴,えがお,yes,2026-04-05 19:11:13,2026-03-25 21:52:27
16,絵画,회화 그림,かいが,yes,2026-04-07 22:19:59,2026-03-25 21:52:27
17,記録,기록,きろく,yes,2026-04-05 19:11:05,2026-03-25 21:52:27
18,検査,검사,けんさ,yes,2026-04-07 22:19:56,2026-03-25 21:52:27
19,広告,광고,こうこく,yes,2026-04-05 19:10:51,2026-03-25 21:52:27
20,黒板,칠판,こくばん,yes,2026-04-05 19:11:27,2026-03-25 21:52:27
21,吸う,들이키다 마시다,すう,yes,2026-04-07 22:20:01,2026-03-25 21:52:27
22,確かだ,확실하다,たしかだ,yes,2026-04-05 19:09:50,2026-03-25 21:52:27
23,冷える,차가워지다,ひえる,yes,2026-04-05 19:09:39,2026-03-25 21:52:27
24,短い,짧다,みじかい,yes,2026-04-05 19:11:20,2026-03-25 21:52:27
25,預ける,맡기다,あずける,yes,2026-04-05 19:09:54,2026-03-25 21:52:27
26,暖かい,따뜻하다,あたたかい,yes,2026-04-05 19:10:05,2026-03-25 21:52:27
27,重ねる,포개다 겹치다,かさねる,yes,2026-04-05 19:10:00,2026-03-25 21:52:27
28,規則,규칙,きそく,yes,2026-04-05 19:11:31,2026-03-25 21:52:27
29,高価,고가,こうか,yes,2026-04-05 19:11:33,2026-03-25 21:52:27
30,性格,성격,せいかく,yes,2026-04-05 19:11:57,2026-03-25 21:52:27
31,伝言,전언,でんごん,yes,2026-04-05 19:11:38,2026-03-25 21:52:27
32,泊まる,묵다 숙박하다,とまる,yes,2026-04-05 19:10:08,2026-03-25 21:52:27
33,娘,딸,むすめ,yes,2026-04-07 22:12:11,2026-03-25 21:52:27
34,命令,명령,めいれい,yes,2026-04-05 19:11:48,2026-03-25 21:52:27
35,予想,예상,よそう,yes,2026-04-07 22:20:04,2026-03-25 21:52:27
36,以降,이후,いこう,yes,2026-04-05 19:11:46,2026-03-25 21:52:27
37,観察,관찰,かんさつ,yes,2026-04-05 19:12:03,2026-03-25 21:52:27
38,逆,반대 거꾸로,ぎゃく,yes,2026-04-05 19:14:47,2026-03-25 21:52:27
39,泣く,울다,なく,yes,2026-04-05 19:11:40,2026-03-25 21:52:27
40,低い,낮다,ひくい,yes,2026-04-05 19:12:05,2026-03-25 21:52:27
41,複雑だ,복잡하다,ふくざつだ,yes,2026-04-05 19:10:41,2026-03-25 21:52:27
42,浅い,얕다,あさい,no,,2026-03-25 21:52:27
43,現れる,나타나다,あらわれる,no,,2026-03-25 21:52:27
44,内側,안쪽,うちがわ,yes,2026-04-07 22:20:09,2026-03-25 21:52:27
45,家具,가구,かぐ,yes,2026-04-05 19:12:11,2026-03-25 21:52:27
46,記念,기념,きねん,yes,2026-04-05 19:12:32,2026-03-25 21:52:27
47,最初,최초,さいしょ,yes,2026-04-05 19:12:35,2026-03-25 21:52:27
48,島,섬,しま,yes,2026-04-05 19:15:09,2026-03-25 21:52:27
49,停電,정전,ていでん,yes,2026-04-05 19:12:41,2026-03-25 21:52:27
50,訳する,번역하다,やくする,yes,2026-04-05 19:10:35,2026-03-25 21:52:27
51,理由,이유,りゆう,yes,2026-04-05 19:12:46,2026-03-25 21:52:27
52,当たる,맞다,あたる,yes,2026-04-05 19:10:38,2026-03-25 21:52:27
53,厚い,두껍다,あつい,yes,2026-04-05 19:12:29,2026-03-25 21:52:27
54,右折,우회전,うせつ,yes,2026-04-05 19:12:24,2026-03-25 21:52:27
55,週刊誌,주간지,しゅうかんし,yes,2026-04-07 22:17:05,2026-03-25 21:52:27
56,出勤,출근,しゅっきん,yes,2026-04-05 19:12:43,2026-03-25 21:52:27
57,退院,퇴원,たいいん,yes,2026-04-05 19:13:00,2026-03-25 21:52:27
58,疲れ,피로,つかれ,yes,2026-04-05 19:12:50,2026-03-25 21:52:27
59,続き,계속 연결,つづき,yes,2026-04-05 19:12:56,2026-03-25 21:52:27
60,熱心だ,열심이다,ねっしんだ,yes,2026-04-05 19:10:25,2026-03-25 21:52:27
61,関係,관계,かんけい,yes,2026-04-05 19:13:49,2026-03-25 21:52:27
62,期待,기대,きたい,yes,2026-04-05 19:13:32,2026-03-25 21:52:27
63,教師,교사,きょうし,yes,2026-04-05 19:13:26,2026-03-25 21:52:27
64,経由,경유,けいゆ,yes,2026-04-05 19:13:04,2026-03-25 21:52:27
65,困る,곤란하다,こまる,yes,2026-04-05 19:13:50,2026-03-25 21:52:27
66,坂道,비탈길 언덕길,さかみち,yes,2026-04-05 19:13:27,2026-03-25 21:52:27
67,頭痛,두통,ずつう,yes,2026-04-05 19:14:04,2026-03-25 21:52:27
68,違う,다르다,ちがう,yes,2026-04-05 19:13:55,2026-03-25 21:52:27
69,飛ぶ,날다,とぶ,yes,2026-04-05 19:14:07,2026-03-25 21:52:27
70,葉,잎 잎사귀,は,yes,2026-04-05 19:15:01,2026-03-25 21:52:27
71,秒,초,びょう,yes,2026-04-05 19:15:12,2026-03-25 21:52:27
72,組む,끼다 짜다,くむ,yes,2026-04-07 22:20:24,2026-03-25 21:52:27
73,乗車,승차,じょうしゃ,no,,2026-03-25 21:52:27
74,成績,성적,せいせき,yes,2026-04-05 19:14:26,2026-03-25 21:52:27
75,波,파도 물결,なみ,yes,2026-04-07 22:12:16,2026-03-25 21:52:27
76,逃げる,도망치다,にげる,yes,2026-04-05 19:10:43,2026-03-25 21:52:27
77,眠る,잠자다,ねむる,yes,2026-04-05 19:14:41,2026-03-25 21:52:27
78,早く,빨리,はやく,yes,2026-04-05 19:14:30,2026-03-25 21:52:27
79,回す,돌리다,まわす,yes,2026-04-05 19:14:28,2026-03-25 21:52:27
80,満足,만족,まんぞく,yes,2026-04-05 19:15:20,2026-03-25 21:52:27
81,輸出,수출,ゆしゅつ,yes,2026-04-05 19:15:26,2026-03-25 21:52:27
