no,word,meaning,hiragana,memorized,memorized_at,created_at
1,楽器,악기,がっき,yes,2026-04-05 19:21:18,2026-03-25 22:10:15
2,借りる,빌리다,かりる,yes,2026-04-05 19:20:39,2026-03-25 22:10:15
3,関心,관심,かんしん,yes,2026-04-05 19:21:21,2026-03-25 22:10:15
4,規則,규칙,きそく,yes,2026-04-05 19:21:27,2026-03-25 22:10:15
5,欠点,결점,けってん,yes,2026-04-05 19:21:43,2026-03-25 22:10:15
6,原因,원인,げんいん,yes,2026-04-07 22:11:16,2026-03-25 22:10:15
7,現在,현재,げんざい,yes,2026-04-05 19:21:30,2026-03-25 22:10:15
8,正解,정답,せいかい,yes,2026-04-05 19:21:37,2026-03-25 22:10:15
9,勤める,근무하다,つとめる,yes,2026-04-05 19:20:36,2026-03-25 22:10:15
10,投げる,던지다,なげる,yes,2026-04-05 19:16:01,2026-03-25 22:10:15
11,願う,바라다 원하다,ねがう,yes,2026-04-07 22:12:55,2026-03-25 22:10:15
12,緑,녹색,みどり,no,,2026-03-25 22:10:15
13,移る,옮기다 이동하다,うつる,yes,2026-04-05 19:17:31,2026-03-25 22:10:15
14,温泉,온천,おんせん,yes,2026-04-07 22:12:20,2026-03-25 22:10:15
15,家庭,가정,かてい,yes,2026-04-05 19:17:02,2026-03-25 22:10:15
16,消す,(불 전기 등을) 끄다,けす,yes,2026-04-05 19:17:36,2026-03-25 22:10:15
17,欠席,결석,けっせき,yes,2026-04-05 19:17:25,2026-03-25 22:10:15
18,減少,감소,げんしょう,no,,2026-03-25 22:10:15
19,恋しい,그립다,こいしい,yes,2026-04-05 19:16:07,2026-03-25 22:10:15
20,細かい,잘다 작다,こまかい,yes,2026-04-05 19:16:14,2026-03-25 22:10:15
21,雑誌,잡지,ざっし,yes,2026-04-07 22:12:51,2026-03-25 22:10:15
22,駐車,주차,ちゅうしゃ,yes,2026-04-05 19:18:27,2026-03-25 22:10:15
23,複数,복수,ふくすう,yes,2026-04-05 19:17:51,2026-03-25 22:10:15
24,若い,젊다,わかい,yes,2026-04-05 19:17:44,2026-03-25 22:10:15
25,遅い,늦다,おそい,yes,2026-04-05 19:18:31,2026-03-25 22:10:15
26,重ねる,겹치다 포개다,かさねる,yes,2026-04-05 19:16:19,2026-03-25 22:10:15
27,貸す,빌려주다,かす,yes,2026-04-07 22:12:48,2026-03-25 22:10:15
28,残業,잔업,ざんぎょう,yes,2026-04-05 19:17:40,2026-03-25 22:10:15
29,信じる,믿다,しんじる,yes,2026-04-05 19:16:09,2026-03-25 22:10:15
30,疲れる,피곤하다,つかれる,yes,2026-04-07 22:12:00,2026-03-25 22:10:15
31,包む,포장하다 감싸다,つつむ,yes,2026-04-05 19:18:13,2026-03-25 22:10:15
32,停電,정전,ていでん,yes,2026-04-05 19:18:10,2026-03-25 22:10:15
33,独身,독신,どくしん,yes,2026-04-05 19:18:38,2026-03-25 22:10:15
34,逃げる,도망치다,にげる,yes,2026-04-05 19:16:29,2026-03-25 22:10:15
35,倍,배,ばい,yes,2026-04-05 19:20:32,2026-03-25 22:10:15
36,容器,용기 그릇,ようき,yes,2026-04-05 19:18:08,2026-03-25 22:10:15
37,温める,따뜻하게하다 데우다,あたためる,yes,2026-04-05 19:16:37,2026-03-25 22:10:15
38,帰宅,귀가,きたく,yes,2026-04-05 19:18:34,2026-03-25 22:10:15
39,記録,기록,きろく,yes,2026-04-05 19:18:40,2026-03-25 22:10:15
40,原料,원료,げんりょう,yes,2026-04-05 19:18:42,2026-03-25 22:10:15
41,自信,자신,じしん,yes,2026-04-05 19:18:58,2026-03-25 22:10:15
42,週刊誌,주간지,しゅうかんし,yes,2026-04-05 19:16:23,2026-03-25 22:10:15
43,相談,상담 의논,そうだん,yes,2026-04-05 19:19:01,2026-03-25 22:10:15
44,育てる,키우다 기르다,そだてる,yes,2026-04-05 19:16:26,2026-03-25 22:10:15
45,歯,이 이빨,は,yes,2026-04-05 19:20:54,2026-03-25 22:10:15
46,復習,복습,ふくしゅう,yes,2026-04-07 22:12:45,2026-03-25 22:10:15
47,守る,지키다 보호하다,まもる,yes,2026-04-05 19:18:44,2026-03-25 22:10:15
48,結ぶ,잇다 묶다,むすぶ,yes,2026-04-05 19:18:55,2026-03-25 22:10:15
49,案内,안내,あんない,yes,2026-04-05 19:18:57,2026-03-25 22:10:15
50,痛い,아프다,いたい,yes,2026-04-05 19:19:13,2026-03-25 22:10:15
51,解決,해결,かいけつ,yes,2026-04-05 19:19:23,2026-03-25 22:10:15
52,観光,관광,かんこう,yes,2026-04-05 19:19:41,2026-03-25 22:10:15
53,気温,기온,きおん,yes,2026-04-05 19:19:19,2026-03-25 22:10:15
54,券,권 표,けん,yes,2026-04-05 19:20:59,2026-03-25 22:10:15
55,健康,건강,けんこう,yes,2026-04-07 22:12:42,2026-03-25 22:10:15
56,自由,자유,じゆう,yes,2026-04-07 22:13:04,2026-03-25 22:10:15
57,大量,대량,たいりょう,yes,2026-04-05 19:19:16,2026-03-25 22:10:15
58,涙,눈물,なみだ,yes,2026-04-05 19:21:05,2026-03-25 22:10:15
59,法律,법률,ほうりつ,yes,2026-04-05 19:19:37,2026-03-25 22:10:15
60,内側,안쪽,うちがわ,yes,2026-04-05 19:19:48,2026-03-25 22:10:15
61,追う,쫓다 뒤따르다,おう,yes,2026-04-07 22:13:13,2026-03-25 22:10:15
62,降りる,내리다,おりる,yes,2026-04-05 19:16:59,2026-03-25 22:10:15
63,暮らす,살다 생활하다 지내다,くらす,yes,2026-04-05 19:16:53,2026-03-25 22:10:15
64,血液,혈액,けつえき,yes,2026-04-05 19:20:20,2026-03-25 22:10:15
65,身長,신장,しんちょう,yes,2026-04-05 19:20:28,2026-03-25 22:10:15
66,正常,정상,せいじょう,yes,2026-04-07 22:13:07,2026-03-25 22:10:15
67,成績,성적,せいせき,yes,2026-04-05 19:19:56,2026-03-25 22:10:15
68,制服,제복 교복,せいふく,yes,2026-04-05 19:19:28,2026-03-25 22:10:15
69,専門家,전문가,せんもんか,yes,2026-04-05 19:16:57,2026-03-25 22:10:15
70,物語,이야기,ものがたり,no,,2026-03-25 22:10:15
