no,word,meaning,hiragana,memorized,memorized_at,created_at
1,欠伸,하품,あくび,no,,2026-03-29 01:41:49
2,うっかり,깜빡,うっかり,yes,2026-04-05 19:24:03,2026-03-29 01:41:49
3,お互いに,서로,おたがいに,yes,2026-04-07 22:11:39,2026-03-29 01:41:49
4,可能,가능,かのう,yes,2026-04-05 19:24:16,2026-03-29 01:41:49
5,感覚,감각,かんかく,yes,2026-04-07 22:20:36,2026-03-29 01:41:49
6,期限,기한,きげん,yes,2026-04-07 22:20:42,2026-03-29 01:41:49
7,きちんと,깔끔히,きちんと,yes,2026-04-07 22:11:54,2026-03-29 01:41:49
8,恋しい,그립다,こいしい,yes,2026-04-05 19:31:56,2026-03-29 01:41:49
9,効果的,효과적,こうかてき,yes,2026-04-05 19:29:13,2026-03-29 01:41:49
10,差,차 차이,さ,yes,2026-04-05 19:23:40,2026-03-29 01:41:49
11,制限,제한,せいげん,yes,2026-04-07 22:21:25,2026-03-29 01:41:49
12,想像,상상,そうぞう,yes,2026-04-05 19:26:57,2026-03-29 01:41:49
13,だるい,나른하다,だるい,yes,2026-04-07 22:10:14,2026-03-29 01:41:49
14,付き合う,사귀다,つきあう,yes,2026-04-05 19:25:03,2026-03-29 01:41:49
15,テーマ,테마,テーマ,yes,2026-04-05 19:30:10,2026-03-29 01:41:49
16,動作,동작,どうさ,yes,2026-04-05 19:26:18,2026-03-29 01:41:49
17,舐める,핥다,なめる,yes,2026-04-07 22:10:43,2026-03-29 01:41:49
18,番,차례,ばん,yes,2026-04-07 22:20:27,2026-03-29 01:41:49
19,ヒント,힌트,ヒント,yes,2026-04-05 19:30:12,2026-03-29 01:41:49
20,振る,흔들다,ふる,yes,2026-04-07 22:17:38,2026-03-29 01:41:49
21,平気だ,괜찮다,へいきだ,yes,2026-04-07 22:10:47,2026-03-29 01:41:49
22,面倒くさい,귀찮다,めんどうくさい,yes,2026-04-05 19:31:50,2026-03-29 01:41:49
23,追い越す,앞지르다 추월하다,おいこす,yes,2026-04-07 22:20:58,2026-03-29 01:41:49
24,乾く,마르다,かわく,yes,2026-04-05 19:26:20,2026-03-29 01:41:49
25,希望,희망,きぼう,yes,2026-04-05 19:26:39,2026-03-29 01:41:49
26,キャンセル,취소,キャンセル,yes,2026-04-05 19:30:03,2026-03-29 01:41:49
27,偶然,우연히,ぐうぜん,no,,2026-03-29 01:41:49
28,悔しい,분하다,くやしい,yes,2026-04-07 22:10:51,2026-03-29 01:41:49
29,資源,자원,しげん,yes,2026-04-05 19:26:46,2026-03-29 01:41:49
30,染み,얼룩,しみ,yes,2026-04-07 22:21:35,2026-03-29 01:41:49
31,親戚,친척,しんせき,no,,2026-03-29 01:41:49
32,ずきずき,욱신욱신,ずきずき,yes,2026-04-05 19:25:24,2026-03-29 01:41:49
33,叩く,두드리다,たたく,yes,2026-04-07 22:17:50,2026-03-29 01:41:49
34,登場,등장,とうじょう,yes,2026-04-07 22:18:17,2026-03-29 01:41:49
35,どきどき,두근두근,どきどき,yes,2026-04-05 19:25:38,2026-03-29 01:41:49
36,話し合う,의논하다,はなしあう,yes,2026-04-07 22:11:04,2026-03-29 01:41:49
37,ぴったり,꼭 맞는 모양 딱,ぴったり,yes,2026-04-07 22:09:06,2026-03-29 01:41:49
38,防ぐ,막다,ふせぐ,yes,2026-04-05 19:27:16,2026-03-29 01:41:49
39,別々,따로따로,べつべつ,yes,2026-04-07 22:18:21,2026-03-29 01:41:49
40,吠える,짖다,ほえる,yes,2026-04-07 22:10:55,2026-03-29 01:41:49
41,干す,말리다,ほす,yes,2026-04-05 19:27:28,2026-03-29 01:41:49
42,迷う,망설이다,まよう,yes,2026-04-07 22:18:26,2026-03-29 01:41:49
43,剥く,벗기다,むく,no,,2026-03-29 01:41:49
44,レシピ,레시피 조리법,レシピ,yes,2026-04-07 22:10:52,2026-03-29 01:41:49
45,当たる,맞다,あたる,yes,2026-04-05 19:29:28,2026-03-29 01:41:49
46,意志,의지,いし,yes,2026-04-07 22:18:06,2026-03-29 01:41:49
47,延期,연기,えんき,no,,2026-03-29 01:41:49
48,お疲れ様,수고하셨습니다,おつかれさま,yes,2026-04-07 22:11:50,2026-03-29 01:41:49
49,訓練,훈련,くんれん,yes,2026-04-07 22:18:39,2026-03-29 01:41:49
50,効果,효과,こうか,no,,2026-03-29 01:41:49
51,この間,일전 요전,このあいだ,no,,2026-03-29 01:41:49
52,材料,재료,ざいりょう,yes,2026-04-05 19:27:53,2026-03-29 01:41:49
53,者,자 사람,しゃ,yes,2026-04-05 19:24:07,2026-03-29 01:41:49
54,渋滞,정체,じゅうたい,yes,2026-04-05 19:27:46,2026-03-29 01:41:49
55,セット,세트 조절,セット,yes,2026-04-05 19:29:21,2026-03-29 01:41:49
56,チャレンジ,챌린지 도전,チャレンジ,yes,2026-04-05 19:24:41,2026-03-29 01:41:49
57,土地,토지,とち,yes,2026-04-05 19:27:48,2026-03-29 01:41:49
58,なるべく,되도록,なるべく,yes,2026-04-05 19:29:52,2026-03-29 01:41:49
59,ばらばら,제각각 제각기,ばらばら,no,,2026-03-29 01:41:49
60,ぺらぺら,줄줄 술술,ぺらぺら,yes,2026-04-05 19:24:37,2026-03-29 01:41:49
61,報告,보고,ほうこく,yes,2026-04-05 19:27:44,2026-03-29 01:41:49
