no,word,meaning,hiragana,memorized,memorized_at,created_at
1,編む,엮다 뜨다,あむ,yes,2026-04-05 23:33:22,2026-04-05 20:11:52
2,栄養,영양,えいよう,yes,2026-04-05 23:32:57,2026-04-05 20:11:52
3,演奏,연주,えんそう,yes,2026-04-07 22:16:34,2026-04-05 20:11:52
4,香り,향기,かおり,yes,2026-04-05 23:33:27,2026-04-05 20:11:52
5,隠す,감추다 숨기다,かくす,yes,2026-04-05 23:33:28,2026-04-05 20:11:52
6,観察,관찰,かんさつ,yes,2026-04-05 23:33:16,2026-04-05 20:11:52
7,キャンセル,취소,キャンセル,yes,2026-04-05 23:35:53,2026-04-05 20:11:52
8,興味,흥미,きょうみ,yes,2026-04-05 23:33:18,2026-04-05 20:11:52
9,盛んだ,번창하다,さかんだ,yes,2026-04-05 23:31:48,2026-04-05 20:11:52
10,順番,순번 차례,じゅんばん,yes,2026-04-05 23:28:00,2026-04-05 20:11:52
11,そっくり,꼭 닮음,そっくり,yes,2026-04-05 23:36:26,2026-04-05 20:11:52
12,代表的だ,대표적이다,だいひょうてきだ,yes,2026-04-05 23:37:00,2026-04-05 20:11:52
13,戦う,싸우다 전투하다,たたかう,yes,2026-04-05 23:27:40,2026-04-05 20:11:52
14,発表,발표,はっぴょう,yes,2026-04-05 23:27:53,2026-04-05 20:11:52
15,ぴったり,딱 들어 맞음,ぴったり,yes,2026-04-07 22:12:03,2026-04-05 20:11:52
16,防ぐ,방어하다 막다,ふせぐ,yes,2026-04-05 23:28:03,2026-04-05 20:11:52
17,守る,지키다,まもる,yes,2026-04-05 23:27:41,2026-04-05 20:11:52
18,文句,불평 불만,もんく,yes,2026-04-05 23:27:51,2026-04-05 20:11:52
19,破れる,찢어지다 깨지다,やぶれる,no,,2026-04-05 20:11:52
20,リサイクル,리사이클 재활용,リサイクル,yes,2026-04-05 23:37:23,2026-04-05 20:11:52
21,料金,요금,りょうきん,yes,2026-04-05 23:28:17,2026-04-05 20:11:52
22,割合,비율,わりあい,yes,2026-04-05 23:28:09,2026-04-05 20:11:52
23,飽きる,질리다 실증나다,あきる,yes,2026-04-06 23:31:14,2026-04-05 20:11:52
24,穴,구멍,あな,yes,2026-04-05 23:32:20,2026-04-05 20:11:52
25,印象,인상,いんしょう,yes,2026-04-05 23:28:14,2026-04-05 20:11:52
