no,word,meaning,hiragana,memorized_word,memorized_word_at,memorized_meaning,memorized_meaning_at,memorized_hiragana,memorized_hiragana_at,memorized,memorized_at,created_at
1,鮮やか,선명함,あざやか,yes,2026-05-05 16:11:45,no,,no,,no,,2026-04-08 22:57:42
2,衣装,의상,いしょう,yes,2026-05-05 16:12:17,no,,no,,no,,2026-04-08 22:57:42
3,絡まる,휘감기다 얽히다,からまる,yes,2026-05-05 16:11:26,no,,no,,no,,2026-04-08 22:57:42
4,実践,실천,じっせん,yes,2026-05-05 16:11:52,no,,no,,no,,2026-04-08 22:57:42
5,詳細,상세,しょうさい,yes,2026-05-05 16:12:01,no,,no,,no,,2026-04-08 22:57:42
6,背骨,척추,せぼね,yes,2026-05-05 16:12:03,no,,no,,no,,2026-04-08 22:57:42
7,農薬,농약,のうやく,yes,2026-05-05 16:11:55,no,,no,,no,,2026-04-08 22:57:42
8,分析,분석,ぶんせき,yes,2026-05-05 16:12:14,no,,no,,no,,2026-04-08 22:57:42
9,迷う,망설이다,まよう,yes,2026-05-05 16:12:14,no,,no,,no,,2026-04-08 22:57:42
10,優秀,우수,ゆうしゅう,yes,2026-05-05 16:05:21,no,,no,,no,,2026-04-08 22:57:42
11,握手,악수,あくしゅ,yes,2026-05-05 16:05:24,no,,no,,no,,2026-04-08 22:57:42
12,腕,팔,うで,yes,2026-05-05 16:11:36,no,,no,,no,,2026-04-08 22:57:42
13,運賃,운임,うんちん,yes,2026-05-05 16:05:32,no,,no,,no,,2026-04-08 22:57:42
14,幼い,어리다 유치하다,おさない,yes,2026-05-05 16:05:49,no,,no,,no,,2026-04-08 22:57:42
15,険しい,험악하다 험상궂다,けわしい,yes,2026-05-05 16:03:06,no,,no,,no,,2026-04-08 22:57:42
16,削除,삭제,さくじょ,yes,2026-05-05 16:05:52,no,,no,,no,,2026-04-08 22:57:42
17,善良だ,선량하다 어질다,ぜんりょうだ,yes,2026-05-05 16:03:09,no,,no,,no,,2026-04-08 22:57:42
18,平等,평등,びょうどう,no,,no,,no,,no,,2026-04-08 22:57:42
19,乱れる,흐트러지다 흐려지다,みだれる,yes,2026-05-05 16:03:09,no,,no,,no,,2026-04-08 22:57:42
20,模範,모범,もはん,yes,2026-05-05 16:06:10,no,,no,,no,,2026-04-08 22:57:42
21,勇ましい,용감하다,いさましい,yes,2026-05-05 16:11:41,no,,no,,no,,2026-04-08 22:57:42
22,偉い,대단하다 위대하다,えらい,yes,2026-05-05 16:05:28,no,,no,,no,,2026-04-08 22:57:42
23,記憶,기억,きおく,yes,2026-05-05 16:06:17,no,,no,,no,,2026-04-08 22:57:42
24,警備,경비,けいび,yes,2026-05-05 16:07:01,no,,no,,no,,2026-04-08 22:57:42
25,刺激,자극,しげき,yes,2026-05-05 16:05:57,no,,no,,no,,2026-04-08 22:57:42
26,世間,세간 세상,せけん,yes,2026-05-05 16:06:06,no,,no,,no,,2026-04-08 22:57:42
27,素材,소재,そざい,yes,2026-05-05 16:06:27,no,,no,,no,,2026-04-08 22:57:42
28,務める,역할을 맡다,つとめる,yes,2026-05-05 16:03:42,no,,no,,no,,2026-04-08 22:57:42
29,途端に,바로 그 순간,とたんに,yes,2026-05-05 16:03:48,no,,no,,no,,2026-04-08 22:57:42
30,外れる,제외되다 벗어나다,はずれる,yes,2026-05-05 16:03:20,no,,no,,no,,2026-04-08 22:57:42
31,焦る,초조해지다,あせる,yes,2026-05-05 16:06:32,no,,no,,no,,2026-04-08 22:57:42
32,著しい,현저하다 두드러지다,いちじるしい,yes,2026-05-05 16:03:32,no,,no,,no,,2026-04-08 22:57:42
33,介護,간호,かいご,yes,2026-05-05 16:07:04,no,,no,,no,,2026-04-08 22:57:42
34,拡充,확충,かくじゅう,yes,2026-05-05 16:06:40,no,,no,,no,,2026-04-08 22:57:42
35,傾く,기울다 치우치다,かたむく,yes,2026-05-05 16:06:57,no,,no,,no,,2026-04-08 22:57:42
36,賛否,찬반 가부,さんぴ,yes,2026-05-05 16:07:27,no,,no,,no,,2026-04-08 22:57:42
37,情景,정경 광경,じょうけい,yes,2026-05-05 16:07:24,no,,no,,no,,2026-04-08 22:57:42
38,声援,성원,せいえん,yes,2026-05-05 16:07:10,no,,no,,no,,2026-04-08 22:57:42
39,乏しい,모자라다 부족하다,とぼしい,yes,2026-05-05 16:03:24,no,,no,,no,,2026-04-08 22:57:42
40,破片,파편,はへん,yes,2026-05-05 16:07:45,no,,no,,no,,2026-04-08 22:57:42
41,下降,하강 추락,かこう,yes,2026-05-05 16:07:33,no,,no,,no,,2026-04-08 22:57:42
42,損害,손해,そんがい,yes,2026-05-05 16:07:58,no,,no,,no,,2026-04-08 22:57:42
43,倒す,쓰러뜨리다 무너뜨리다,たおす,yes,2026-05-05 16:07:38,no,,no,,no,,2026-04-08 22:57:42
44,比較的,비교적,ひかくてき,yes,2026-05-05 16:03:58,no,,no,,no,,2026-04-08 22:57:42
45,圧倒的,압도적,あっとうてき,yes,2026-05-05 16:03:37,no,,no,,no,,2026-04-08 22:57:42
46,映る,비치다,うつる,yes,2026-05-05 16:07:42,no,,no,,no,,2026-04-08 22:57:42
