no,word,meaning,hiragana,memorized_word,memorized_word_at,memorized_meaning,memorized_meaning_at,memorized_hiragana,memorized_hiragana_at,memorized,memorized_at,created_at
1,囲む,둘러싸다,かこむ,yes,2026-05-05 19:06:33,no,,no,,no,,2026-04-20 23:10:44
2,行事,행사,ぎょうじ,yes,2026-05-05 19:07:02,no,,no,,no,,2026-04-20 23:10:44
3,拒否,거부,きょひ,yes,2026-05-05 19:06:38,no,,no,,no,,2026-04-20 23:10:44
4,現象,현상,げんしょう,yes,2026-05-05 19:07:34,no,,no,,no,,2026-04-20 23:10:44
5,省略,생략,しょうりゃく,yes,2026-05-05 19:07:26,no,,no,,no,,2026-04-20 23:10:44
6,損害,손해,そんがい,yes,2026-05-05 19:06:44,no,,no,,no,,2026-04-20 23:10:44
7,乏しい,부족하다,とぼしい,yes,2026-05-05 19:12:37,no,,no,,no,,2026-04-20 23:10:44
8,憎い,밉다,にくい,yes,2026-05-05 19:06:49,no,,no,,no,,2026-04-20 23:10:44
9,含める,포함하다,ふくめる,yes,2026-05-05 19:12:33,no,,no,,no,,2026-04-20 23:10:44
10,油断,방심/부주의,ゆだん,yes,2026-05-05 19:07:46,no,,no,,no,,2026-04-20 23:10:44
11,圧勝,압승,あっしょう,yes,2026-05-05 19:06:53,no,,no,,no,,2026-04-20 23:10:44
12,傷む,상하다,いたむ,yes,2026-05-05 19:06:59,no,,no,,no,,2026-04-20 23:10:44
13,大幅,큰폭,おおはば,yes,2026-05-05 19:07:37,no,,no,,no,,2026-04-20 23:10:44
14,極端,극단적임/아주 지나침,きょくたん,yes,2026-05-05 19:08:01,no,,no,,no,,2026-04-20 23:10:44
15,悔しい,분하다,くやしい,yes,2026-05-05 19:05:08,no,,no,,no,,2026-04-20 23:10:44
16,継続,계속,けいぞく,yes,2026-05-05 19:08:08,no,,no,,no,,2026-04-20 23:10:44
17,除く,제거하다/제외하다,のぞく,yes,2026-05-05 20:11:10,no,,no,,no,,2026-04-20 23:10:44
18,貿易,무역,ぼうえき,yes,2026-05-05 19:08:36,no,,no,,no,,2026-04-20 23:10:44
19,戻す,되돌리다,もどす,yes,2026-05-05 19:08:04,no,,no,,no,,2026-04-20 23:10:44
