no,word,meaning,hiragana,memorized_word,memorized_word_at,memorized_meaning,memorized_meaning_at,memorized_hiragana,memorized_hiragana_at,memorized,memorized_at,created_at
1,与える,주다,あたえる,no,,no,,no,,no,,2026-05-06 23:51:26
2,暖かい,다정하다,あたたかい,no,,no,,no,,no,,2026-05-06 23:51:26
3,誤り,잘못/틀림/실수,あやまり,no,,no,,no,,no,,2026-05-06 23:51:26
4,改めて,다시/새삼스레,あらためて,no,,no,,no,,no,,2026-05-06 23:51:26
5,案外,뜻밖에/의외로,あんがい,no,,no,,no,,no,,2026-05-06 23:51:26
6,言い難い,말하기어렵다,いいがたい,no,,no,,no,,no,,2026-05-06 23:51:26
7,異常,이상함,いじょう,no,,no,,no,,no,,2026-05-06 23:51:26
8,移転,이전,いてん,no,,no,,no,,no,,2026-05-06 23:51:26
9,祈る,기도하다,いのる,no,,no,,no,,no,,2026-05-06 23:51:26
10,違反,위반,いはん,no,,no,,no,,no,,2026-05-06 23:51:26
11,医療,의료,いりょう,no,,no,,no,,no,,2026-05-06 23:51:26
12,印刷,인쇄,いんさつ,no,,no,,no,,no,,2026-05-06 23:51:26
13,植木,정원수/분재,うえき,no,,no,,no,,no,,2026-05-06 23:51:26
14,浮く,떠오르다/들뜨다,うく,no,,no,,no,,no,,2026-05-06 23:51:26
15,疑い,의심,うたがい,no,,no,,no,,no,,2026-05-06 23:51:26
16,宇宙,우주,うちゅう,no,,no,,no,,no,,2026-05-06 23:51:26
17,運送,운송,うんそう,no,,no,,no,,no,,2026-05-06 23:51:26
18,偉い,훌륭하다/대단하다,えらい,no,,no,,no,,no,,2026-05-06 23:51:26
19,得る,얻다,える,no,,no,,no,,no,,2026-05-06 23:51:26
20,延期,연기/미룸,えんき,no,,no,,no,,no,,2026-05-06 23:51:26
21,応援,응원,おうえん,no,,no,,no,,no,,2026-05-06 23:51:26
22,応対,응대/접대,おうたい,no,,no,,no,,no,,2026-05-06 23:51:26
23,欧米,유럽과미국,おうべい,no,,no,,no,,no,,2026-05-06 23:51:26
24,億,~억,おく,no,,no,,no,,no,,2026-05-06 23:51:26
25,置く,놓다/두다,おく,no,,no,,no,,no,,2026-05-06 23:51:26
26,怒る,화내다,おこる,no,,no,,no,,no,,2026-05-06 23:51:26
27,幼い,어리다/미숙하다,おさない,no,,no,,no,,no,,2026-05-06 23:51:26
28,踊り,춤,おどり,no,,no,,no,,no,,2026-05-06 23:51:26
29,主,주됨,おも,no,,no,,no,,no,,2026-05-06 23:51:26
30,改善,개선,かいぜん,no,,no,,no,,no,,2026-05-06 23:51:26
31,会談,회담,かいだん,no,,no,,no,,no,,2026-05-06 23:51:26
32,快適,쾌적함,かいてき,no,,no,,no,,no,,2026-05-06 23:51:26
33,回復,회복,かいふく,no,,no,,no,,no,,2026-05-06 23:51:26
34,重ねる,거듭하다/겹치다,かさねる,no,,no,,no,,no,,2026-05-06 23:51:26
35,賢い,현명하다/영리하다,かしこい,no,,no,,no,,no,,2026-05-06 23:51:26
36,傾く,기울다,かたむく,no,,no,,no,,no,,2026-05-06 23:51:26
37,家庭,가정,かてい,no,,no,,no,,no,,2026-05-06 23:51:26
38,可能性,가능성,かのうせい,no,,no,,no,,no,,2026-05-06 23:51:26
39,貨物,화물,かもつ,no,,no,,no,,no,,2026-05-06 23:51:26
40,観察,관찰,かんさつ,no,,no,,no,,no,,2026-05-06 23:51:26
41,乾燥,건조,かんそう,no,,no,,no,,no,,2026-05-06 23:51:26
42,缶詰,통조림,かんづめ,no,,no,,no,,no,,2026-05-06 23:51:26
43,完了,완료,かんりょう,no,,no,,no,,no,,2026-05-06 23:51:26
44,危険,위험,きけん,no,,no,,no,,no,,2026-05-06 23:51:26
45,機嫌,기분/심기,きげん,no,,no,,no,,no,,2026-05-06 23:51:26
46,記事,기사,きじ,no,,no,,no,,no,,2026-05-06 23:51:26
47,規制,규제,きせい,no,,no,,no,,no,,2026-05-06 23:51:26
48,決まる,결정되다/정해지다,きまる,no,,no,,no,,no,,2026-05-06 23:51:26
49,客,손님,きゃく,no,,no,,no,,no,,2026-05-06 23:51:26
50,休息,휴식,きゅうそく,no,,no,,no,,no,,2026-05-06 23:51:26
51,共感,공감,きょうかん,no,,no,,no,,no,,2026-05-06 23:51:26
52,協力,협력,きょうりょく,no,,no,,no,,no,,2026-05-06 23:51:26
53,漁業,어업,ぎょぎょう,no,,no,,no,,no,,2026-05-06 23:51:26
54,記録,기록,きろく,no,,no,,no,,no,,2026-05-06 23:51:26
55,議論,의논/논쟁,ぎろん,no,,no,,no,,no,,2026-05-06 23:51:26
56,空港,공항,くうこう,no,,no,,no,,no,,2026-05-06 23:51:26
57,靴,신발/구두,くつ,no,,no,,no,,no,,2026-05-06 23:51:26
58,雲,구름,くも,no,,no,,no,,no,,2026-05-06 23:51:26
59,暮らす,살다/생활하다,くらす,no,,no,,no,,no,,2026-05-06 23:51:26
60,芸能,예능/연예,げいのう,no,,no,,no,,no,,2026-05-06 23:51:26
61,警備,경비,けいび,no,,no,,no,,no,,2026-05-06 23:51:26
62,結果,결과,けっか,no,,no,,no,,no,,2026-05-06 23:51:26
63,険しい,험악하다,けわしい,no,,no,,no,,no,,2026-05-06 23:51:26
64,原因,원인,げんいん,no,,no,,no,,no,,2026-05-06 23:51:26
65,厳重,엄중함,げんじゅう,no,,no,,no,,no,,2026-05-06 23:51:26
66,建設,건설,けんせつ,no,,no,,no,,no,,2026-05-06 23:51:26
67,講演,강연,こうえん,no,,no,,no,,no,,2026-05-06 23:51:26
68,郊外,교외,こうがい,no,,no,,no,,no,,2026-05-06 23:51:26
69,公害,공해,こうがい,no,,no,,no,,no,,2026-05-06 23:51:26
70,交差点,교차로,こうさてん,no,,no,,no,,no,,2026-05-06 23:51:26
