no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
1,N5,日,날 일,"""날 일"".하루,날,태양",ニチ、ジツ,ひ、か,"日는 ""태양""의 모습을 본따 그린 상형문자입니다. ""해가 뜨고 지다"" -> ""하루, 태양""이라는 의미입니다.",음독은 ニチ、ジツ입니다. 특별한 구분법은 없습니다.,훈독은 ひ、か입니다. ~日는 날수/날짜를 셀 때 쓰는 접미사입니다.,no
2,N5,一,한 일,"""한 일"". 하나, 1",イチ、イツ,ひと、ひと(つ),"一는 ""선 하나""로 1을 표현한 상형문자입니다.",음독은 イチ、イツ입니다. 대략적인 구분법은 다음과 같습니다(예외도 있습니다). 아래 예시단어를 참조해 주세요.,"一つ는 ""한 개, 하나""라는 뜻입니다.",no
3,N5,国,나라 국,"""나라 국"". 나라, 국가",コク,くに,"国 = 囗 + 玉。 囗는 여기서는 ""국경, 경계선""을 표현한 모양자입니다. 「玉」는 ""구슬, 보석""을 뜻하는 부수입니다(링크 참조). 国는 ""국경(囗)으로 귀중한 것(玉)을 둘러싸고 지키다"" -> ""나라""라는 뜻의 글자입니다.",음독은 コク입니다. 특별한 점은 없습니다.,"国는 ""나라""를 뜻합니다.",no
4,N5,会,모일 회,"""모일 회"". 모이다, 만나다",カイ、エ,あ(う),"会 = 人 + 云。 人는 여기서는 ""하늘""을 그린 모양자입니다. 「云」는 ""구름""을 뜻하는 글자입니다(링크 참조). 会는 ""하늘(人)의 구름(云)이 만나다"" -> ""모이다, 만나다""라는 뜻의 글자입니다.","음독은 カイ、エ입니다. 사용 빈도는 カイ가 훨씬 높으나, 특별한 구분법은 없습니다.","会う는 ""만나다""라는 뜻의 자동사입니다.",no
5,N5,人,사람 인,"""사람 인"". 사람",ジン、ニン,ひと,"人는 ""걷고 있는 사람의 옆모습""을 그린 상형문자입니다.","음독은 ジン、ニン입니다.대략적인 구분법은 다음과 같습니다(예외도 있습니다). 1. ""인원수""를 세는 경우: ニン 예)三人세 명,十人열 명 2. ""하는 일"", ""동작""을 나타내는 경우: ニン 예)管理人관리인,商人상인 3. ""속성"", ""상태""를 나타내는 경우: ジン 예)日本人일본인,老人노인,美人미인 예외)悪人악인","人는 ""사람""을 뜻합니다.",no
6,N5,年,해 년,"""해 년"". 해(year)",ネン,とし,"年 = 𠂉 + 㐄。 𠂉는 여기서는「人」가 변형된 것으로, ""사람""을 뜻합니다. 「㐄」는 ""발""을 뜻하는 글자입니다(링크 참조). 年는 ""사람(𠂉)이 걸음마(㐄)를 떼려면 일 년이 걸린다"" -> ""한 해""라는 뜻의 글자입니다.",음독은 ネン입니다. 특별한 점은 없습니다.,"年는 ""해, 나이""를 뜻합니다.",no
7,N5,大,클 대,"""클 대"". 크다",ダイ、タイ,おお、おお(きい)、おお(いに),"大는 ""양 팔을 벌리고 선 사람""을 그린 상형문자입니다. ""서있는 사람"" -> ""키가 크다"" -> ""크다""라는 의미입니다. 참고) 大가 다른 한자의 일부로 쓰일 때는 단순히 ""사람""이라는 뜻으로 쓰이는 경우가 많습니다.",음독은 ダイ、タイ입니다. 특별한 구분법은 없습니다.,"大きい는 ""크다""라는 뜻의 형용사입니다. 大いに는 ""대단히""라는 뜻의 부사입니다.",no
8,N5,十,열 십,"""열 십"". 10",ジュウ、ジッ,とお、と,"옛날 중국에서는 막대를 세로로 세워서(│) ""10""을 표현했다고 합니다. 거기에 가로선을 더해서 구분하기 쉽게 만든 것이 바로 十입니다.","음독은 ジュウ、ジッ입니다. 十 뒤에 「か、さ、た、ぱ」행이 올 때는ジッ으로 읽고, 그 외에는 ジュウ로 읽습니다. 아래 예시단어를 참조해 주세요.",훈독은 とお、と입니다. 특별한 구분법은 없습니다.,no
9,N5,二,두 이,"""두 이"". 2",ニ,ふた、ふた(つ),"二는 선 두 개로 ""2""를 표현한 글자입니다.",음독은 ニ입니다. 특별한 점은 없습니다.,"ふた는 ""2""를 뜻하는 순일본어입니다.",no
10,N5,本,근본 본,"""근본 본"". 근본, 본질, 본래",ホン,もと,"本 = 木 + 一。 木(""나무 목"")은 ""나무""를 뜻하는 상용한자입니다. 木는 ""나무""의 모습을 본따 그린 상형문자입니다. 一는 여기서는 ""나무 밑동""을 그린 모양자입니다. 本는 ""나무(木)의 밑동(一)"" -> ""뿌리"" -> ""근본, 본질, 본래""라는 뜻의 글자입니다.",음독은 ホン입니다. 특별한 점은 없습니다.,"もと는 ""시초, 기본, 근본""을 뜻하는 순일본어입니다.",no
