word,memorized,memorized_at,reviewed_at
引,yes,2026-03-16 23:31:54,
失,yes,2026-03-29 17:18:40,
球,yes,2026-03-16 23:29:59,
成,yes,2026-03-29 17:22:23,
欠,no,,
欲,yes,2026-03-16 23:30:24,
差,yes,2026-03-16 23:30:28,
全,yes,2026-03-29 13:45:20,
険,no,,
望,yes,2026-03-16 23:30:47,
次,yes,2026-03-29 17:21:00,
欧,no,,
断,yes,2026-03-29 13:45:57,
央,yes,2026-03-16 23:31:20,
期,yes,2026-03-29 17:19:17,
陽,yes,2026-03-29 17:18:47,
巨,yes,2026-03-16 23:31:38,
肯,yes,2026-03-29 17:20:36,
階,no,,
戦,yes,2026-03-29 17:18:21,
老,yes,2026-03-16 23:32:11,
歯,yes,2026-03-16 23:32:14,
者,yes,2026-03-16 23:32:16,
農,yes,2026-03-16 23:32:18,
的,yes,2026-03-16 23:32:21,
起,yes,2026-03-16 23:32:23,
死,yes,2026-03-16 23:32:24,
翌,yes,2026-03-16 23:32:41,
由,yes,2026-03-29 17:18:54,
直,yes,2026-03-16 23:32:54,
良,yes,2026-03-29 17:18:36,
路,yes,2026-03-16 23:33:05,
痛,yes,2026-03-16 23:33:07,
粉,yes,2026-03-16 23:33:09,
鼻,yes,2026-03-16 23:33:11,
残,yes,2026-03-29 17:18:18,
段,no,,
列,yes,2026-03-16 23:33:31,
面,yes,2026-03-16 23:33:34,
辞,no,,
要,yes,2026-03-16 23:33:43,
相,yes,2026-03-29 17:19:39,
留,yes,2026-03-16 23:33:50,
順,yes,2026-03-18 00:15:12,
事,yes,2026-03-18 00:15:14,
類,yes,2026-03-29 17:18:50,
貧,yes,2026-03-18 00:15:23,
願,yes,2026-03-18 00:15:27,2026-03-29 13:39:55
予,yes,2026-03-18 00:15:29,
貸,yes,2026-03-18 00:15:34,
貯,yes,2026-03-18 00:15:45,
幼,yes,2026-03-29 17:23:10,
争,yes,2026-03-18 00:15:53,
卵,yes,2026-03-18 00:15:57,
費,yes,2026-03-18 00:16:00,
久,yes,2026-03-18 00:16:01,
皮,no,,
具,yes,2026-03-18 00:16:07,
貿,yes,2026-03-18 00:16:12,
録,yes,2026-03-18 00:16:16,
負,yes,2026-03-29 17:23:02,
頭,yes,2026-03-18 00:16:24,
顔,yes,2026-03-29 17:18:05,
賞,yes,2026-03-18 00:16:29,2026-03-29 13:38:55
兵,yes,2026-03-18 00:16:31,
危,yes,2026-03-29 17:20:32,
賛,yes,2026-03-29 17:19:32,
無,yes,2026-03-18 00:16:54,
庫,yes,2026-03-29 17:19:51,
島,yes,2026-03-18 00:17:00,
席,yes,2026-03-18 00:17:03,
暖,yes,2026-03-29 17:22:03,
燃,yes,2026-03-18 00:17:13,
敗,yes,2026-03-29 17:19:48,
座,yes,2026-03-18 00:17:27,
救,yes,2026-03-29 17:18:43,
点,yes,2026-03-18 00:17:31,
昨,yes,2026-03-18 00:17:39,
局,yes,2026-03-18 00:17:40,
昔,yes,2026-03-29 17:23:16,
底,yes,2026-03-18 00:17:46,
岸,yes,2026-03-18 00:17:49,
最,yes,2026-03-18 00:17:51,
焼,yes,2026-03-18 00:17:54,
存,yes,2026-03-18 00:17:57,
易,yes,2026-03-29 17:19:12,
包,yes,2026-03-18 00:18:15,
曜,yes,2026-03-18 00:18:20,
季,yes,2026-03-18 00:18:21,
度,yes,2026-03-29 17:21:49,
熱,yes,2026-03-18 00:18:27,
取,yes,2026-03-18 22:48:05,
再,yes,2026-03-18 22:48:07,
娘,yes,2026-03-18 22:48:10,2026-03-23 18:17:20
身,yes,2026-03-18 22:48:11,
則,yes,2026-03-29 17:20:06,
亡,yes,2026-03-18 22:48:23,
初,yes,2026-03-18 22:48:24,2026-03-29 13:33:43
困,yes,2026-03-18 22:48:26,
団,yes,2026-03-18 22:48:30,
回,yes,2026-03-18 22:48:34,
婦,yes,2026-03-18 22:48:37,
受,yes,2026-03-18 22:48:41,
厚,yes,2026-03-18 22:48:43,
反,yes,2026-03-18 22:48:44,
匹,yes,2026-03-18 22:48:45,
収,yes,2026-03-18 22:48:47,
婚,yes,2026-03-18 22:48:50,
冊,yes,2026-03-18 22:49:00,
式,yes,2026-03-18 22:49:03,
夢,yes,2026-03-18 22:49:05,
用,yes,2026-03-18 22:49:07,
副,yes,2026-03-18 22:49:08,
姓,yes,2026-03-18 22:49:15,
種,yes,2026-03-18 22:50:16,
移,yes,2026-03-18 22:50:24,
説,yes,2026-03-18 22:50:31,
勝,yes,2026-03-18 22:50:33,
談,yes,2026-03-29 17:19:41,
