no,word,reading,meaning,level,created_at
1,引,,끌 인,N4,2026-03-09 21:51:35
2,断,,끊을 단,N2,2026-03-09 21:51:42
3,肯,,즐길 긍,N2,2026-03-09 21:51:51
4,期,,기약할 기,N3,2026-03-09 21:51:58
5,望,,바랄 망,N3,2026-03-09 21:52:09
6,成,,이룰 성,N3,2026-03-09 21:52:14
7,戦,,싸울 전,N3,2026-03-09 21:52:20
8,球,,공 구,N3,2026-03-09 21:52:40
9,失,,잃을 실,N3,2026-03-09 21:52:54
10,央,,가운데 앙,N3,2026-03-09 21:53:00
11,階,,섬돌 계,N3,2026-03-09 21:53:09
12,険,,험할 험,N2,2026-03-09 21:53:15
13,陽,,볕 양,N3,2026-03-09 21:53:22
14,差,,다를 차,N3,2026-03-09 21:53:30
15,巨,,클 거,N2,2026-03-09 21:53:38
16,欧,,토할 구,N2,2026-03-09 21:54:22
17,欲,,하고자 할 욕,N2,2026-03-09 21:54:30
18,次,,버금 차,N3,2026-03-09 21:54:37
19,欠,,이지러질 결,N3,2026-03-09 21:54:44
20,全,,온전할 전,N3,2026-03-09 21:54:51
