no,word,reading,meaning,level,created_at
1,引,,끌 인,N4,2026-03-09 22:14:31
2,断,,끊을 단,N2,2026-03-09 23:33:50
3,肯,,즐길 긍,N2,2026-03-09 23:34:07
4,期,,기약할 기,N3,2026-03-09 23:34:23
5,望,,바랄 망,N3,2026-03-09 23:34:30
6,成,,이룰 성,N3,2026-03-09 23:34:37
7,戦,,싸울 전,N3,2026-03-09 23:34:45
8,球,,공 구,N3,2026-03-09 23:34:53
9,失,,잃을 실,N3,2026-03-09 23:34:59
10,央,,가운데 앙,N3,2026-03-09 23:35:05
11,階,,섬돌 계,N3,2026-03-09 23:35:29
12,険,,험할 험,N2,2026-03-09 23:35:50
13,陽,,볕 양,N3,2026-03-09 23:35:58
14,差,,다를 차,N3,2026-03-09 23:36:04
15,巨,,클 거,N2,2026-03-09 23:36:09
16,欧,,토할 구,N2,2026-03-09 23:36:16
17,欲,,하고자 할 욕,N2,2026-03-09 23:36:22
18,次,,버금 차,N3,2026-03-09 23:36:29
19,欠,,이지러질 결,N3,2026-03-09 23:36:34
20,全,,온전할 전,N3,2026-03-09 23:36:44
