no,word,reading,meaning,level,created_at
1,的,,과녁 적,N3,2026-03-09 22:43:51
2,路,,길 로,N3,2026-03-09 22:44:13
3,段,,층계 단,N2,2026-03-09 22:44:35
4,粉,,가루 분,N3,2026-03-09 22:44:44
5,翌,,다음날 익,N2,2026-03-09 22:45:26
6,歯,,이 치,N3,2026-03-09 22:46:15
7,要,,요긴할 요,N3,2026-03-09 22:46:26
8,老,,늙을 노,N3,2026-03-09 22:51:13
9,者,,놈 자,N4,2026-03-09 22:51:18
10,痛,,아플 통,N2,2026-03-09 22:52:08
11,留,,머무를 류,N2,2026-03-09 22:52:16
12,由,,말미암을 유,N3,2026-03-09 22:52:36
13,鼻,,코 비,N3,2026-03-09 22:52:43
14,死,,죽을 사,N4,2026-03-09 22:52:49
15,残,,잔인할/남을 잔,N3,2026-03-09 22:53:17
16,良,,어질 량,N3,2026-03-09 22:53:33
17,面,,낯 면,N3,2026-03-09 22:53:45
18,直,,곧을 직,N3,2026-03-09 22:53:52
19,相,,서로 상,N3,2026-03-09 22:53:58
20,起,,일어날 기,N4,2026-03-09 22:54:05
21,辞,,말씀 사,N3,2026-03-09 22:54:26
22,農,,농사 농,N3,2026-03-09 22:54:56
23,列,,벌일 열,N3,2026-03-09 22:55:07
