no,word,reading,meaning,level,created_at
1,包,,쌀 포,N3,2026-03-16 23:34:51
2,岸,,언덕 안,N3,2026-03-16 23:35:11
3,島,,섬 도,N3,2026-03-16 23:35:17
4,存,,있을 존,N2,2026-03-16 23:35:24
5,季,,계절 계,N3,2026-03-16 23:35:32
6,局,,판 국,N3,2026-03-16 23:35:39
7,座,,자리 좌,N2,2026-03-16 23:35:48
8,席,,자리 석,N3,2026-03-16 23:35:54
9,度,,법도 도,N4,2026-03-16 23:39:25
10,底,,밑 저,N3,2026-03-16 23:44:11
11,無,,없을 무,N3,2026-03-16 23:36:43
12,焼,,불사를 소,N3,2026-03-16 23:36:54
13,点,,점 점,N3,2026-03-16 23:37:01
14,最,,가장 최,N3,2026-03-16 23:37:33
15,暖,,따뜻할 난,N2,2026-03-16 23:37:59
16,昨,,어제 작,N3,2026-03-16 23:38:06
17,昔,,옛 석,N3,2026-03-16 23:38:22
18,曜,,요일 요,N4,2026-03-16 23:38:38
19,救,,구원할 구,N3,2026-03-16 23:38:52
20,敗,,패할 패,N3,2026-03-16 23:39:02
21,庫,,곳집 고,N3,2026-03-16 23:39:42
22,燃,,탈 연,N2,2026-03-16 23:39:58
23,熱,,더울 열,N3,2026-03-16 23:41:57
24,易,,바꿀 역/쉬울 이,N2,2026-03-16 23:42:15
