no,word,reading,meaning,level,created_at
1,皮,,가죽 피,N3,2026-03-16 23:49:41
2,録,,기록할 록,N3,2026-03-16 23:49:54
3,負,,질 부,N3,2026-03-16 23:50:01
4,貸,,빌릴 대,N4,2026-03-16 23:50:14
5,賛,,도울 찬,N2,2026-03-16 23:50:19
6,費,,쓸 비,N3,2026-03-16 23:50:25
7,貯,,쌓을 저,N3,2026-03-16 23:50:34
8,貧,,가난할 빈,N2,2026-03-16 23:50:42
9,賞,,상줄 상,N3,2026-03-16 23:50:48
10,貿,,무역할 무,N2,2026-03-16 23:51:45
11,順,,순할 순,N3,2026-03-16 23:51:57
12,頭,,머리 두,N4,2026-03-16 23:52:04
13,顔,,낯 안,N4,2026-03-16 23:52:13
14,類,,무리 류,N3,2026-03-16 23:52:18
15,願,,원할 원,N3,2026-03-16 23:52:27
16,久,,오랠 구,N2,2026-03-16 23:52:35
17,卵,,알 란,N2,2026-03-16 23:52:40
18,危,,위태할 위,N2,2026-03-16 23:52:49
19,幼,,어릴 유,N2,2026-03-16 23:52:56
20,争,,다툴 쟁,N3,2026-03-16 23:53:03
21,事,,일 사,N4,2026-03-16 23:53:11
22,予,,미리 예,N3,2026-03-16 23:53:18
23,兵,,병사 병,N3,2026-03-16 23:53:25
24,具,,갖출 구,N3,2026-03-16 23:53:32
