no,word,reading,meaning,level,created_at
1,匹,,짝 필,N2,2026-03-18 00:22:04
2,用,,쓸 용,N4,2026-03-18 00:22:11
3,身,,몸 신,N3,2026-03-18 00:22:25
4,冊,,책 책,N2,2026-03-18 00:22:30
5,再,,두 재,N2,2026-03-18 00:22:38
6,姓,,성 성,N2,2026-03-18 00:23:05
7,婚,,혼인할 혼,N2,2026-03-18 00:23:12
8,娘,,계집 낭,N2,2026-03-18 00:23:33
9,婦,,며느리 부,N2,2026-03-18 00:23:40
10,式,,법 식,N3,2026-03-18 00:23:47
11,夢,,꿈 몽,N2,2026-03-18 00:23:56
12,厚,,두터울 후,N2,2026-03-18 00:24:02
13,初,,처음 초,N3,2026-03-18 00:24:13
14,判,,판단할 판,N2,2026-03-18 00:24:23
15,副,,버금 부,N3,2026-03-18 00:24:29
16,則,,법칙 칙,N2,2026-03-18 00:24:38
17,受,,받을 수,N3,2026-03-18 00:24:49
18,取,,가질 취,N3,2026-03-18 00:24:57
19,収,,거둘 수,N2,2026-03-18 00:25:05
20,反,,돌이킬 반,N3,2026-03-18 00:25:10
21,亡,,망할 망,N2,2026-03-18 00:25:17
22,回,,돌 회,N4,2026-03-18 00:25:25
23,困,,곤할 곤,N2,2026-03-18 00:25:33
24,団,,둥글 단,N2,2026-03-18 00:25:42
