no,word,reading,meaning,level,created_at
1,舟,,배 주,N2,2026-03-18 21:39:32
2,血,,피 혈,N3,2026-03-18 21:39:42
3,関,,관계할 관,N3,2026-03-18 21:39:49
4,労,,일할 로,N3,2026-03-18 21:40:07
5,助,,도울 조,N3,2026-03-18 21:40:17
6,努,,힘쓸 노,N3,2026-03-18 21:40:26
7,効,,본받을 효,N2,2026-03-18 21:40:34
8,勝,,이길 승,N3,2026-03-18 21:40:41
9,移,,옮길 이,N2,2026-03-18 21:40:50
10,税,,세금 세,N2,2026-03-18 21:40:58
11,秒,,분초 초,N3,2026-03-18 21:41:05
12,積,,쌓일 적,N3,2026-03-18 21:41:24
13,種,,씨 종,N3,2026-03-18 21:41:32
14,程,,한도 정,N2,2026-03-18 21:41:43
15,記,,기록할 기,N3,2026-03-18 21:41:52
16,許,,허락할 허,N2,2026-03-18 21:42:00
17,設,,베풀 설,N2,2026-03-18 21:42:05
18,調,,고를 조,N3,2026-03-18 21:44:59
19,識,,알 식,N2,2026-03-18 21:45:05
20,訳,,번역할 역,N1,2026-03-18 21:45:16
21,議,,의논할 의,N3,2026-03-18 21:45:24
22,認,,알 인,N2,2026-03-18 21:45:33
23,談,,말씀 담,N3,2026-03-18 21:45:45
24,説,,말씀 설,N4,2026-03-18 21:45:52
