no,word,reading,meaning,level,created_at
1,酔,,취할 취,N1,2026-03-18 22:56:42
2,角,,뿔 각,N3,2026-03-18 22:56:48
3,解,,풀 해,N2,2026-03-18 22:57:02
4,非,,아닐 비,N2,2026-03-18 22:57:08
5,産,,낳을 산,N4,2026-03-18 22:57:15
6,豆,,콩 두,N1,2026-03-18 22:57:24
7,豊,,풍년 풍,N2,2026-03-18 22:57:47
8,覚,,깨달을 각,N3,2026-03-18 22:58:19
9,観,,볼 관,N3,2026-03-18 22:58:24
10,規,,법 규,N2,2026-03-18 22:58:35
11,窓,,창 창,N2,2026-03-18 22:58:46
12,突,,갑자기 돌,N2,2026-03-18 22:58:50
13,童,,아이 동,N3,2026-03-18 22:58:59
14,確,,굳을 확,N2,2026-03-18 22:59:08
15,転,,구를 전,N4,2026-03-18 22:59:14
16,軍,,군사 군,N3,2026-03-18 22:59:21
17,変,,변할 변,N3,2026-03-18 22:59:33
18,複,,겹칠 복/부,N2,2026-03-18 22:59:48
19,袋,,자루 대,N2,2026-03-18 22:59:55
20,表,,겉 표,N3,2026-03-18 23:00:02
21,補,,기울 보,N2,2026-03-18 23:00:08
22,対,,대할 대,N3,2026-03-18 23:01:12
23,量,,헤아릴 량,N3,2026-03-18 23:00:48
24,冷,,찰 냉,N3,2026-03-18 23:00:58
