no,word,reading,meaning,level,created_at
1,難,,어려울 난,N2,2026-03-18 23:06:52
2,飛,,날 비,N3,2026-03-18 23:07:02
3,州,,고을 주,N3,2026-03-18 23:07:17
4,戸,,집 호,N3,2026-03-18 23:08:46
5,旧,,옛 구,N2,2026-03-18 23:09:04
6,曲,,굽을 곡,N3,2026-03-18 23:09:20
7,平,,평평할 평,N3,2026-03-18 23:09:28
8,干,,"방패/줄기 간, 마를 건",N2,2026-03-18 23:09:45
9,率,,거느릴 솔/비율 률,N2,2026-03-18 23:11:51
10,卒,,마칠 졸,N3,2026-03-18 23:11:59
11,単,,홑 단,N3,2026-03-18 23:12:05
12,建,,세울 건,N4,2026-03-18 23:12:40
13,選,,고를 선,N3,2026-03-18 23:13:12
14,逆,,거스를 역,N2,2026-03-18 23:17:06
15,返,,돌이킬 반,N3,2026-03-18 23:17:13
16,退,,물러날 퇴,N2,2026-03-18 23:17:39
17,追,,쫓을 추,N3,2026-03-18 23:17:49
18,連,,이을 연,N3,2026-03-18 23:18:09
19,造,,지을 조,N2,2026-03-18 23:18:19
20,進,,나아갈 진,N4,2026-03-18 23:18:26
21,迎,,맞을 영,N2,2026-03-18 23:18:33
22,罪,,허물 죄,N2,2026-03-18 23:19:13
23,置,,둘 치,N3,2026-03-18 23:19:21
24,支,,지탱할 지,N2,2026-03-18 23:19:25
