no,word,reading,meaning,level,created_at
1,乳,,젖 유,N2,2026-03-23 18:21:24
2,術,,재주 술,N2,2026-03-23 18:21:40
3,登,,오를 등,N3,2026-03-23 18:22:03
4,示,,보일 시,N2,2026-03-23 18:22:09
5,祭,,제사 제,N3,2026-03-23 18:22:22
6,禁,,금할 금,N2,2026-03-23 18:22:28
7,祝,,빌 축,N3,2026-03-23 18:23:41
8,神,,귀신 신,N3,2026-03-23 18:23:48
9,福,,복 복,N3,2026-03-23 18:23:57
10,礼,,예절 예,N3,2026-03-23 18:24:43
11,彼,,저 피,N2,2026-03-23 18:24:55
12,徒,,무리 도,N3,2026-03-23 18:25:17
13,復,,회복할 복/다시 부,N2,2026-03-23 18:25:29
14,律,,법칙 률,N2,2026-03-23 18:25:36
15,役,,부릴 역,N3,2026-03-23 18:25:43
16,守,,지킬 수,N3,2026-03-23 18:25:49
17,実,,열매 실,N3,2026-03-23 18:26:00
18,寝,,잠잘 침,N2,2026-03-23 18:26:06
19,定,,정할 정,N3,2026-03-23 18:26:15
20,官,,벼슬 관,N3,2026-03-23 18:26:21
21,容,,얼굴 용,N2,2026-03-23 18:26:25
22,富,,부유할 부,N2,2026-03-23 18:26:31
23,犯,,범할 범,N2,2026-03-23 18:26:38
24,独,,홀로 독,N2,2026-03-23 18:26:44
