no,word,reading,meaning,level,created_at
1,布,,베/펼 포,N2,2026-03-23 18:27:25
2,師,,스승 사,N2,2026-03-23 18:27:34
3,帯,,띠 대,N3,2026-03-23 18:28:06
4,希,,바랄 희,N3,2026-03-23 18:28:14
5,常,,항상 상,N2,2026-03-23 18:28:30
6,苦,,쓸 고,N3,2026-03-23 18:28:42
7,葉,,잎 엽,N3,2026-03-23 18:29:05
8,菜,,나물 채,N4,2026-03-23 18:29:16
9,落,,떨어질 락,N3,2026-03-23 18:29:24
10,芸,,재주 예,N3,2026-03-23 18:29:33
11,笑,,웃음 소,N3,2026-03-23 18:29:44
12,筆,,붓 필,N3,2026-03-23 18:29:50
13,築,,쌓을 축,N2,2026-03-23 18:30:19
14,箱,,상자 상,N3,2026-03-23 18:30:24
15,第,,차례 제,N3,2026-03-23 18:30:36
16,管,,대롱 관,N3,2026-03-23 18:30:48
17,算,,셈 산,N3,2026-03-23 18:34:47
18,等,,무리 등,N3,2026-03-23 18:34:53
19,塩,,소금 염,N3,2026-03-23 18:35:01
20,均,,고를 균,N2,2026-03-23 18:35:07
21,型,,모형 형,N3,2026-03-23 18:35:13
22,在,,있을 재,N2,2026-03-23 18:35:24
23,坂,,언덕 판,N3,2026-03-23 18:35:36
24,報,,갚을/알릴 보,N2,2026-03-23 18:35:50
