no,word,reading,meaning,level,created_at
1,形,,모양 형,N3,2026-03-23 18:40:03
2,職,,직분 직,N2,2026-03-23 18:44:54
3,首,,머리 수,N4,2026-03-23 18:45:00
4,末,,끝 말,N3,2026-03-23 18:45:08
5,果,,실과 과,N3,2026-03-23 18:45:18
6,机,,책상 궤,N2,2026-03-23 18:45:27
7,植,,심을 식,N3,2026-03-23 18:45:56
8,根,,뿌리 근,N3,2026-03-23 18:46:02
9,構,,얽을 구,N2,2026-03-23 18:46:12
10,柱,,기둥 주,N3,2026-03-23 18:46:21
11,材,,재목 재,N3,2026-03-23 18:46:28
12,杯,,잔 배,N2,2026-03-23 18:46:37
13,枚,,낱 매,N2,2026-03-23 18:47:39
14,検,,검사할 검,N2,2026-03-23 18:47:46
15,束,,묶을 속,N3,2026-03-23 18:48:01
16,査,,조사할 사,N2,2026-03-23 18:48:07
17,格,,격식 격,N2,2026-03-23 18:48:14
18,未,,아닐 미,N3,2026-03-23 18:48:21
19,板,,널빤지 판,N3,2026-03-23 18:48:40
20,棒,,막대 봉,N2,2026-03-23 18:48:49
21,横,,가로 횡,N3,2026-03-29 22:38:16
22,橋,,다리 교,N3,2026-03-23 18:49:08
23,機,,틀 기,N3,2026-03-23 18:49:14
24,械,,기계 계,N3,2026-03-23 18:49:22
