no,word,reading,meaning,level,created_at
1,呼,,부를 호,N2,2026-03-29 19:25:51
2,吸,,마실 흡,N2,2026-03-29 19:35:51
3,可,,옳을 가,N2,2026-03-29 19:26:16
4,員,,인원 원,N4,2026-03-29 19:26:22
5,不,,아닐 부(불),N4,2026-03-29 19:26:30
6,告,,고할 고,N3,2026-03-29 19:26:42
7,各,,각각 각,N3,2026-03-29 19:26:50
8,和,,화할 화,N3,2026-03-29 19:26:55
9,商,,장사 상,N3,2026-03-29 19:27:01
10,君,,임금 군,N3,2026-03-29 19:27:08
11,喜,,기쁠 희,N3,2026-03-29 19:27:14
12,向,,향할 향,N3,2026-03-29 19:27:19
13,打,,칠 타,N3,2026-03-29 19:27:26
14,押,,누를 압,N2,2026-03-29 19:27:33
15,拾,,주울 습,N3,2026-03-29 19:27:43
16,捨,,버릴 사,N2,2026-03-29 19:27:49
17,投,,던질 투,N3,2026-03-29 19:27:54
18,担,,멜 담,N2,2026-03-29 19:28:02
19,接,,이을 접,N2,2026-03-29 19:28:09
20,授,,줄 수,N2,2026-03-29 19:28:15
21,折,,꺾을 절,N3,2026-03-29 19:28:25
22,探,,찾을 탐,N2,2026-03-29 19:28:31
23,指,,가리킬 지,N3,2026-03-29 19:28:37
24,技,,재주 기,N2,2026-03-29 19:28:44
