no,word,reading,meaning,level,created_at
1,忘,,잊을 망,N2,2026-03-29 19:31:29
2,感,,느낄 감,N3,2026-03-29 19:31:48
3,恋,,사모할 연,N2,2026-03-29 19:31:56
4,想,,생각 상,N3,2026-03-29 19:32:01
5,怒,,성낼 노,N2,2026-03-29 19:32:42
6,念,,생각 념,N3,2026-03-29 19:32:48
7,悪,,악할 악/미워할 오,N4,2026-03-29 19:32:54
8,情,,뜻 정,N2,2026-03-29 19:32:59
9,悩,,번뇌할 뇌,N2,2026-03-29 19:33:04
10,悲,,슬플 비,N3,2026-03-29 19:33:09
11,性,,성품 성,N2,2026-03-29 19:33:16
12,意,,뜻 의,N4,2026-03-29 19:33:21
13,息,,쉴 식,N3,2026-03-29 19:33:25
14,結,,맺을 결,N3,2026-03-29 19:33:33
15,約,,맺을 약,N3,2026-03-29 19:33:41
16,給,,줄 급,N3,2026-03-29 19:33:48
17,絵,,그림 회,N3,2026-03-29 19:33:55
18,続,,계속 속,N3,2026-03-29 19:34:08
19,紹,,이을 소,N2,2026-03-29 19:34:16
20,組,,짤 조,N3,2026-03-29 19:34:22
21,績,,길쌈할 적,N2,2026-03-29 19:34:44
22,級,,등급 급,N3,2026-03-29 19:35:27
23,線,,줄 선,N3,2026-03-29 19:36:24
24,絡,,이을 락,N2,2026-03-29 19:36:37
25,編,,엮을 편,N2,2026-03-29 19:36:43
26,綿,,솜 면,N2,2026-03-29 19:36:48
