no,word,reading,meaning,level,created_at
1,氷,,얼음 빙,N3,2026-03-29 19:37:14
2,汗,,땀 한,N2,2026-03-29 19:37:28
3,準,,준할 준,N2,2026-03-29 19:37:34
4,決,,결단할 결,N3,2026-03-29 19:37:44
5,注,,부을 주,N4,2026-03-29 19:37:50
6,法,,법 법,N3,2026-03-29 19:37:55
7,浴,,목욕할 욕,N3,2026-03-29 19:38:02
8,湯,,끓일 탕,N3,2026-03-29 19:38:09
9,洗,,씻을 세,N4,2026-03-29 19:38:22
10,濯,,씻을 탁,N2,2026-03-29 19:38:30
11,消,,사라질 소,N3,2026-03-29 19:38:37
12,活,,살 활,N3,2026-03-29 19:38:42
13,温,,따뜻할 온,N3,2026-03-29 19:38:54
14,測,,헤아릴 측,N2,2026-03-29 19:39:00
15,涙,,눈물 루,N2,2026-03-29 22:37:13
16,満,,찰 만,N3,2026-03-29 22:38:38
17,河,,물 하,N2,2026-03-29 22:38:48
18,流,,흐를 류,N3,2026-03-29 22:38:53
19,深,,깊을 심,N3,2026-03-29 22:38:59
20,泊,,머무를 박,N2,2026-03-29 22:39:07
21,浅,,얕을 천,N3,2026-03-29 22:39:18
22,演,,펼 연,N2,2026-03-29 22:39:23
23,泣,,울 읍,N3,2026-03-29 22:39:32
24,永,,길 영,N2,2026-03-29 22:39:50
25,液,,진 액,N2,2026-03-29 22:39:57
26,求,,구할 구,N3,2026-03-29 22:40:03
