no,word,reading,meaning,level,created_at
1,介,,끼일 개,N2,2026-03-29 22:40:41
2,代,,대신할 대,N4,2026-03-29 22:41:01
3,以,,써 이,N4,2026-03-29 22:41:06
4,仕,,섬길 사,N4,2026-03-29 22:41:36
5,任,,맡길 임,N2,2026-03-29 22:41:41
6,優,,넉넉할/뛰어날 우,N2,2026-03-29 22:41:50
7,信,,믿을 신,N3,2026-03-29 22:41:56
8,伝,,전할 전,N3,2026-03-29 22:42:02
9,係,,맬 계,N3,2026-03-29 22:42:19
10,仲,,버금 중,N3,2026-03-29 22:42:27
11,他,,다를 타,N3,2026-03-29 22:42:33
12,個,,낱 개,N2,2026-03-29 22:42:38
13,伸,,펼 신,N2,2026-03-29 22:42:45
14,借,,빌릴 차,N4,2026-03-29 22:42:52
15,供,,이바지할 공,N2,2026-03-29 22:42:59
